group_key,group_name,company_name,websites,wko_url,states_seen,addresses,process_fit_class,process_fit_reason,size_class,size_confidence,stage3_scope,management,owners,ultimate_owner,ownership_structure,ownership_type,primary_dm,primary_dm_roles,owner_confidence,owner_source_urls,owner_review_note
Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,,https://firmen.wko.at/zurich-immobilien-liegenschaftsverwaltungs-gesmbh/wien/?firmaid=d8edbf56-e59f-44ef-9ac7-3ecc6e1d917a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Leopold-Ungar-Platz 2 1190 Wien,ADD_TO_SALES_POOL,direct Liegenschaftsverwaltung entity with recurring administration workflows,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
AI Immobilienverwertung GmbH.,AI Immobilienverwertung GmbH.,AI Immobilienverwertung GmbH.,http://www.apk.at/aiig | http://www.apk.at/aiig,https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich | wien,Stahlstraße 2-4 4020 Linz | Thomas-Klestil-Platz 13 1030 Wien,ADD_TO_SALES_POOL,WKO lists Mietshausverwaltung; recurring rental-house administration processes,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Dr. Martin Schober Immobilienverwaltung GmbH,Dr. Martin Schober Immobilienverwaltung GmbH,Dr. Martin Schober Immobilienverwaltung GmbH,,https://firmen.wko.at/dr-martin-schober-immobilienverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=42161173-caf0-44f5-96e1-8e79f03c87d6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,niederösterreich,Hauptplatz 10 2700 Wiener Neustadt,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Immobilien Verwaltung Klagenfurt GmbH,Immobilien Verwaltung Klagenfurt GmbH,Immobilien Verwaltung Klagenfurt GmbH,https://www.klagenfurt-wohnen.at/ | https://www.klagenfurt-wohnen.at/,https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%c3%a4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten,Paulitschgasse 13 9020 Klagenfurt am Wörthersee,PRIMARY_CORE,existing agent-first core target,C_CORE_20_PLUS_RANGE,high,MAIN,Ihre Anliegen Freie Wohnungen [Partner]; Ihre Ansprechpartner [Geschäftsführer]; Gerhard SCHEUCHER MBA Abteilung [Geschäftsführer]; Domplatz Paulitschgasse [Geschäftsführer]; Leitung Digitalisierung Philipp SCHO [Geschäftsführung]; Leitung Digitalisierung Philipp SCHOBER [Geschäftsführung]; Leiter Digitalisierung Domplatz Pauli [Management]; Human Resources Wohnungs [Geschäftsführung]; Parkraumservice Diese Bereiche [Geschäftsführung]; Sie Ihre Unterlagen [Geschäftsführung],Ihre Anliegen Freie Wohnungen (),Ihre Anliegen Freie Wohnungen,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Ihre Anliegen Freie Wohnungen,Owner/Gesellschafter,MEDIUM_HIGH,https://www.klagenfurt-wohnen.at/ | https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns | https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns | https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns | https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns | https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns | https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns | https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns | https://www.klagenfurt-wohnen.at/impressum,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.","Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.","Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",http://www.hallas.at/ | http://www.hallas.at/,https://firmen.wko.at/ludwig-hallas-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=1488ee5c-9ebe-4391-a73f-50b34e432d8d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Museumstraße 5 1070 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,Hausbetreuung Buchhaltung Büroadministration Konsulenten [Geschäftsführer]; Rektorik Prokurist Ing [Geschäftsführer]; Gerald Möth Baumeister Ing [Geschäftsführer]; Birgit Paulsen Verwalterin [Geschäftsführer]; Technik Mag [Geschäftsführer]; Alexander Winkler Allgemein [Geschäftsführer]; Leiter Recht Mar [Management]; Karl Fischer [Management]; Alexander Schlechta [Management]; Martin Fischer [Geschäftsführer],Karl Fischer (); Alexander Schlechta (); Martin Fischer (); Ihre Objekte (); Professionelle Verwaltung Korrespondenz (); Wohnhausanlage Unterstützung (); Bauprojekten Eigener Baumeister (); Fachkundige Begleitung (); Ausbauten Vermietungen (); Geschäftsleitung Hau (),Karl Fischer; Alexander Schlechta; Martin Fischer; Ihre Objekte,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Karl Fischer; Alexander Schlechta,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/ | https://www.hallas.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Salzburg Wohnbau GmbH,Salzburg Wohnbau GmbH,Salzburg Wohnbau GmbH,http://www.salzburg-wohnbau.at/ | http://www.salzburg-wohnbau.at/,https://firmen.wko.at/salzburg-wohnbau-gmbh-immobilientreuh%c3%a4nder-immobilienmakler-immobilienverwalter/salzburg/?firmaid=73b2127c-dd25-4908-a82e-82bf680f9849&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,salzburg,Bruno-Oberläuter-Platz 1 5020 Salzburg,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,Unternehmensgruppe News Eigenheimsicherung Magazine [Geschäftsführung]; Folder FAQ Karriere News [Geschäftsführung]; In Bürmoos [Geschäftsführung]; Projekte Objektmanagement Baumanagement News [Geschäftsführung]; Aufsichtsrat News Unternehmensgruppe Karriere [Geschäftsführung]; In Partnerschaft [Partner]; Ein Meilenstein [Partner]; Wohnprojekt DreiGang [Partner]; Am Standort [Management]; Folder FAQ Karriere Unternehmensgruppe [Geschäftsführung],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,Aufsichtsrat News Unternehmensgruppe Karriere; Brigitte Thalhammer Assiste; CSE Telefon,Geschäftsführung; Geschäftsführer; Geschäftsführung,MEDIUM_HIGH,https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,https://wevig.at/ | https://wevig.at/,https://firmen.wko.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=382f262c-0390-48ea-a925-d110875546f3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,niederösterreich | oberösterreich | wien,Josefstraße 7 3100 St.Pölten | Drinkweldergasse 7/1 3500 Krems an der Donau | Ing. Ferdinand Porschestr. 9 4400 Steyr | Märzstraße 1 1150 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,Izabela Gründel Tel [Geschäftsführer]; Bernhard Raffelsberger Tel [Geschäftsführer]; V-Card Immobilienverwalter Manfred Remesch [Geschäftsführer]; V-Card Immobilienverwalterin Doris [Management]; Michael Leister Tel [Geschäftsführer]; Robert Zier Tel [Geschäftsführer]; Downloads Verwalter Suche MyWEVIG [Management]; Meyer Tel [Geschäftsführung]; V-Card Assistentin [Geschäftsführung]; Rechnungswesen Doris Niklos [Geschäftsführung],Eigentümerversammlung Strozzigasse (); Eigentümerversammlung Hetzendorfer Straße (); Hetzendorfer Straße (); Eigentümerversammlung Herminengasse (); Eigentümerversammlung Schüttelstraße (); Eigentümerversammlung Dietrichgasse (); WEVIG-Kundenportal Dieses Online-Service-Center (),Eigentümerversammlung Strozzigasse; Eigentümerversammlung Hetzendorfer Straße; Hetzendorfer Straße; Eigentümerversammlung Herminengasse,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Eigentümerversammlung Strozzigasse; Eigentümerversammlung Hetzendorfer Straße,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.wevig.at/team/ | https://www.wevig.at/team/ | https://www.wevig.at/team/ | https://www.wevig.at/team/ | https://www.wevig.at/team/ | https://www.wevig.at/team/ | https://www.wevig.at/team/ | https://www.wevig.at/team/ | https://www.wevig.at/ | https://www.wevig.at/ | https://www.wevig.at/ | https://www.wevig.at/ | https://www.wevig.at/ | https://www.wevig.at/ | https://www.wevig.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Apleona Real Estate AT GmbH,Apleona Real Estate AT GmbH,Apleona Real Estate AT GmbH,https://www.realestate.apleona.at/ | https://www.realestate.apleona.at/,https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Bauernmarkt 12 1010 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,,https://firmen.wko.at/drgerlich-cohausverwaltung-und-facility-management-gmbh/salzburg/?firmaid=219f42a8-a4f3-4f4e-9690-4e26dc00712f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,salzburg,Alpenstraße 48 5020 Salzburg,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Immobilientreuhand Kluger GmbH,Immobilientreuhand Kluger GmbH,Immobilientreuhand Kluger GmbH,,https://firmen.wko.at/immobilientreuhand-kluger-gmbh/wien/?firmaid=085657f5-9f16-4690-923d-20497f4158bc&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Favoritenstraße 10/3 1040 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
NV Immobilien GmbH,NV Immobilien GmbH,NV Immobilien GmbH,,https://firmen.wko.at/nv-immobilien-gmbh/nieder%c3%b6sterreich/?firmaid=af42e25e-cdfc-4328-8df2-c011a4c322f2&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,niederösterreich | wien,Neue Herrengasse 10 3100 St.Pölten | Südstadtzentrum IV/ 5/20 2344 Maria Enzersdorf | Rögergasse 34 1090 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
SES Center Management GmbH,SES Center Management GmbH,SES Center Management GmbH,,https://firmen.wko.at/ses-center-management-gmbh/salzburg/?firmaid=79f71352-b685-432e-bc8b-21f56895e524&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | wien,Söllheimer Straße 4 5020 Salzburg | Ostbahnstraße 3 (Einkaufszentrum Murpark) 8041 Graz | Wiener Straße 91 3500 Krems an der Donau | Zehnergürtel 12-24 2700 Wiener Neustadt | Kärntner Straße 34 9500 Villach | Museumstraße 38 6020 Innsbruck | Weberzeile 1 4910 Ried im Innkreis | Grinzinger Straße 112 1190 Wien,ADD_TO_SALES_POOL,"multi-site shopping-centre management with tenant, facility and commercial administration workflows",E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Wohnbau 2000 Gesellschaft mbH,Wohnbau 2000 Gesellschaft mbH,Wohnbau 2000 Gesellschaft mbH,http://www.wohnbau2000.at/ | http://www.wohnbau2000.at/,https://firmen.wko.at/wohnbau-2000-gesellschaft-mbh-immobilien-bautr%c3%84ger-makler-verwalter/ober%c3%b6sterreich/?firmaid=0371acbe-5cc3-4c87-911b-496bbeed12b2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich,Weißenwolffstraße 1 4020 Linz,PRIMARY_CORE,existing agent-first core target,C_CORE_20_PLUS_RANGE,high,MAIN,DE Immobilien Immobiliensuche Bauträgerobjekte [Partner]; Hausverwaltung Service [Partner]; FAQ Anmeldung Downloads Formulare [Partner]; SIE IHREN LEBENS [Partner]; RAUM Sicher [Partner]; Mehr Erfahren Seit [Partner]; Jahren Ihr [Partner]; Mehr Erfahren Persönliche [Management]; Überblick Gründung [Geschäftsführer]; Jörg Rigger Mitarbeiter [Geschäftsführer],Senator Dr (); Jörg Rigger (); Geschäftsführender Gesellschafter Vielfältiges Leistungsspektrum (); Als Bauträger (); Jörg Rigger Geschäftsführender Gesellschafter (); Christine Spitzl Büroleitung (); Personalwesen Assistentin (); Schreiben Sie (); Eva Sturm Projektentwicklung (); Verkauf Tel (),Senator Dr; Jörg Rigger; Geschäftsführender Gesellschafter Vielfältiges Leistungsspektrum; Als Bauträger,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Senator Dr; Jörg Rigger,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://wohnbau2000.com/ | https://wohnbau2000.com/ | https://wohnbau2000.com/ | https://wohnbau2000.com/ | https://wohnbau2000.com/ | https://wohnbau2000.com/ | https://wohnbau2000.com/ | https://wohnbau2000.com/ | https://wohnbau2000.com/unternehmen/ | https://wohnbau2000.com/unternehmen/ | https://wohnbau2000.com/unternehmen/ | https://wohnbau2000.com/unternehmen/ | https://wohnbau2000.com/unternehmen/team/ | https://wohnbau2000.com/unternehmen/team/ | https://wohnbau2000.com/unternehmen/team/ | https://wohnbau2000.com/unternehmen/team/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
BOE Gebäudemanagement Gesellschaft m.b.H.,BOE Gebäudemanagement Gesellschaft m.b.H.,BOE Gebäudemanagement Gesellschaft m.b.H.,http://www.boe-parking.at/ | http://www.boe-parking.at/,https://firmen.wko.at/boe-geb%c3%a4udemanagement-gesellschaft-mbh/tirol/?firmaid=4cef397c-cbbe-45bc-8d3b-21ca36fae81b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,tirol | wien,0512 55 17 00 | Kärntner Straße 13-15/5 1010 Wien,ADD_TO_SALES_POOL,"commercial/technical property management, accounting, operating-cost allocation, contracts and tenant/owner workflows",E_ADJACENT_30_PLUS,high,MAIN,BOE Parking [Partner]; Ihr Erfolg [Partner]; BOE Parking Zum Hauptinhalt [Partner]; Zum Footer [Partner]; International Parkprodukte Kurzparker Dauerparker [Partner]; Comfort Parking Parkzeitraum [Management]; Charge Werbefläche [Management]; Mein Konto DE EN [Management]; A- BOE Parking Ihr [Partner]; Parkgarage Quadrill [Partner],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,A- BOE Parking Ihr; BOE Parking; BOE Parking Zum Hauptinhalt,Partner; Partner; Partner,MEDIUM_HIGH,https://www.boe-parking.at/ | https://www.boe-parking.at/ | https://www.boe-parking.at/ | https://www.boe-parking.at/ | https://www.boe-parking.at/ | https://www.boe-parking.at/ | https://www.boe-parking.at/ | https://www.boe-parking.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
GSA Wohnbauträger GmbH,GSA Wohnbauträger GmbH,GSA Wohnbauträger GmbH,,https://firmen.wko.at/gsa-wohnbautr%c3%a4ger-gmbh/ober%c3%b6sterreich/?firmaid=9d65930d-0479-4028-9f68-2edde4a97a33&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich,Mozartstraße 6-10 4020 Linz,ADD_TO_SALES_POOL,"group provides property management, accounting, billing, complaints, document and contractor workflows",E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
ista Österreich GmbH,ista Österreich GmbH,ista Österreich GmbH,http://www.ista.at/ | http://www.ista.at/,https://firmen.wko.at/ista-%c3%96sterreich-gmbh/wien/?firmaid=213ad5af-0add-4e26-9f75-44e52383e686&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Leopold-Böhm-Straße 12 1030 Wien,ADD_TO_SALES_POOL,"high-volume billing, meter, operating-cost, customer and Hausverwaltung-facing workflows",E_ADJACENT_30_PLUS,high,MAIN,Friedrich Paprotka Oliver Schlodder [Geschäftsführer],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,Friedrich Paprotka Oliver Schlodder,Geschäftsführer,MEDIUM_HIGH,https://www.ista.com/at/impressum/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/,https://firmen.wko.at/%22prisma%22-zentrum-f%c3%bcr-standort-und-regionalentwicklung-gmbh/salzburg/?firmaid=c4259ce0-2340-4dbd-bdf9-6cf297ee7b3d&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,salzburg | tirol | vorarlberg,Strubergasse 26 5020 Salzburg | Hintere Achmühlerstraße 1 6850 Dornbirn | Grabenweg 3 6020 Innsbruck,ADD_TO_SALES_POOL,"100+ buildings under management; commercial/technical Hausverwaltung, facility services, accounting and rent administration",E_ADJACENT_30_PLUS,high,MAIN,Technologiezentren Betriebs [Partner]; Gewerbegebiete Wohn [Partner]; Lebensräume Partnership-Modelle Standortmanagement Initiativen [Partner]; Gruppe Architekturpartner Nachhaltigkeit Sustainablesystems [Partner]; Management Karriere [Partner]; ORTE GESTALTEN [Management]; STANDORTNETZWERK TÄTIGKEITSFELDER FREIE OBJEKTE [Partner]; KINDERBETREUUNG KARRIERE Standorte [Management]; Tätigkeitsfeld Besuchen Partnership-Modelle Partnership-Modelle [Partner]; Tätigkeitsfeld Besuchen Nachhaltigke [Management],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,BREVUE CAMPUS; Gewerbegebiete Wohn; Gruppe Architekturpartner Nachhaltigkeit Sustainablesystems,Partner; Partner; Partner,MEDIUM_HIGH,https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/unternehmen | https://www.prisma-zentrum.com/unternehmen,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Unibail-Rodamco Austria Verwaltungs GmbH,Unibail-Rodamco Austria Verwaltungs GmbH,Unibail-Rodamco Austria Verwaltungs GmbH,,https://firmen.wko.at/unibail-rodamco-austria-verwaltungs-gmbh/nieder%c3%b6sterreich/?firmaid=558419c0-dc6b-4c90-b866-81e136186aa6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,niederösterreich | wien,0222 693969 | Dr.-Adolf-Schärf-Platz 4/4/3 1220 Wien,ADD_TO_SALES_POOL,large shopping-centre/property administration operator with tenant and facility workflows,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
be real Immobilienmanagement GmbH,be real Immobilienmanagement GmbH,be real Immobilienmanagement GmbH,http://www.bereal-immobilien.at/ | http://www.bereal-immobilien.at/,https://firmen.wko.at/be-real-immobilienmanagement-gmbh/wien/?firmaid=0db5736d-8b4a-41cc-acd4-611f22e60540&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Franz-Josefs-Kai 65 1010 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,Lukas Eybel [Management]; Richtung Digitalisierung [Geschäftsführung]; Ihrem Immobilienpartner [Partner]; Ob Haus [Management]; Im Mittelpunkt [Management]; Allgemeine Beratung Immobilien [Partner]; Erfahrung Expert [Management]; Wohnungseigentum Wir [Partner]; Betreuung Ihres Wohneigentums [Management]; Betreuung Ihrer Immobilien [Partner],Bontus Immobilienverwaltung (); Gerhard Stingl Hausverwaltung (); Im Sommer (); Family Offices (); Menge Herzblut (); Franziskaner Platz Zinshaus Verwaltung (); Jörgerstraße Zinshaus (); Große Sperlgasse Verwaltung (); Ihre Anfrage (); Professionelle Unterstützung (),Anliegen behandeln wir priorisiert,Public sources identify material individual shareholders: Anliegen behandeln wir priorisiert 100.0%.,INDIVIDUAL_FAMILY_CONTROL,Anliegen behandeln wir priorisiert,Owner/Gesellschafter,HIGH,https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
GRAWE IMMO AG,GRAWE Immo AG,GRAWE Immo AG,http://www.gwimmo.at/ | http://www.gwimmo.at/,https://firmen.wko.at/grawe-immo-ag/steiermark/?firmaid=3e9afebc-bcab-453c-807d-6ede8fd40f47&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,steiermark,Kaiser-Josef-Platz 1 8010 Graz,ADD_TO_SALES_POOL,manages GRAWE real-estate portfolio across Austria and operates customer service,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
International Campus Austria GmbH,International Campus Austria GmbH,International Campus Austria GmbH,,https://firmen.wko.at/international-campus-austria-gmbh/wien/?firmaid=09505220-ff99-4ca6-843c-4dbfdcd07ada&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Muthgasse 109 1190 Wien,ADD_TO_SALES_POOL,"large student-housing operator with tenant, property and facility operations",E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Porsche Immobilien Gesellschaft m.b.H.,Porsche Immobilien Gesellschaft m.b.H.,Porsche Immobilien Gesellschaft m.b.H.,,https://firmen.wko.at/porsche-immobilien-gesellschaft-mbh/salzburg/?firmaid=3aca3e73-9ff6-46d0-8b65-21435521cb21&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,salzburg,Louise-Piëch-Straße 2 5020 Salzburg,ADD_TO_SALES_POOL,"large in-house real-estate/facility operator with maintenance, contractor and property administration processes",E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
