no,company,primary_dm,management,owners,websites,wko_url
69,Hadolt Transport und Logistik GmbH,Katharina Hadolt; Rolf Hadolt; Felix Hadolt,Rolf Hadolt; Felix Hadolt,Katharina Hadolt,,https://firmen.wko.at/hadolt-transport-und-logistik-gmbh/steiermark/?firmaid=297bd4bb-7d49-4fdc-aa3b-ff85467e2ec7&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
70,Hapag-Lloyd (Austria) GmbH,Mark Biro; Marc-Simon Vick,Mark Biro; Marc-Simon Vick,Hapag-Lloyd AG,,https://firmen.wko.at/hapag-lloyd-austria-gmbh/wien/?firmaid=af00e61d-80fb-477f-9b39-165442fa0b3f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
71,Hellmann Worldwide Logistics GmbH,Piotr Zaleski; Parthasarathy Rangachari; Rainer Mittl,Piotr Zaleski; Parthasarathy Rangachari; Rainer Mittl,Hellmann Worldwide Logistics Limited,,https://firmen.wko.at/hellmann-worldwide-logistics-gmbh/wien/?firmaid=55404adf-0124-460d-a9cd-4c9aebd2f005&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
72,Hermes Logistik GmbH & Co KG,Patryk Hopenthaler; Philip Weiskopf,Patryk Hopenthaler; Philip Weiskopf,Hermes Zweite Beteiligungs-Verwaltungsgesellschaft mbH,,https://firmen.wko.at/hermes-logistik-gmbh-co-kg/nieder%c3%b6sterreich/?firmaid=241bc94e-a953-45ae-a1e5-70b59a2957bb&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
73,Hofmann & Neffe GmbH,Peter Hofmann; Michael Hofmann,Peter Hofmann; Michael Hofmann,Hofmann Immobilien und Logistik GmbH,,https://firmen.wko.at/hofmann-neffe-gmbh/ober%c3%b6sterreich/?firmaid=9c6d397a-3c0a-4887-ad70-d931ebd12fef&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
74,Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,Axel Remplewski; Gedeon Tabanyi,Axel Remplewski; Gedeon György Tabanyi,Hoyer GmbH Internationale Fachspedition,,https://firmen.wko.at/hoyer-austria-internationale-fachspedition-gesellschaft-mbh/wien/?firmaid=5a3d44e6-57cd-4994-a02b-9b3ed6472865&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
75,LAGRAN Lager- und Transport Ges.m.b.H.,Franz Feldgrill; Manfred Auer; Johannes Ramharter; Ferdinand Feldgrill,Franz Feldgrill; Manfred Auer; Johannes Ramharter; Ferdinand Feldgrill,LAGRAN Verwaltungs GmbH; Siegfried Schöffauer; Karin Schöffauer; Franz Feldgrill; others,,https://firmen.wko.at/lagran-lager-und-transport-gesmbh/nieder%c3%b6sterreich/?firmaid=438f3f5d-304d-4c5c-8f8f-b71a2eeffaf1&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
76,Müller Transporte Gesellschaft m.b.H.,Volker Auer,Volker Auer,Lagermax Logistics Austria GmbH,,https://firmen.wko.at/m%c3%bcller-transporte-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=e004b2d4-a8b1-4e1d-8ea0-cfcba29c80f7&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
77,KUNSTTRANS Spedition GmbH,Birgit Vikas; Andreas Kratohwil,Birgit Vikas; Andreas Kratohwil,Kunsttrans Holding GmbH,,https://firmen.wko.at/kunsttrans-spedition-gmbh/steiermark/?firmaid=1234fc8c-c2ad-4156-ad5f-dd32dd7c46c6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
78,L.T.W.-Transportgesellschaft mbH & Co KG,Norbert Wenzel; Elisabeth Leitner,Norbert Wenzel,Elisabeth Leitner; Wenzel Holding GmbH,,https://firmen.wko.at/ltw-transportgesellschaft-mbh-co-kg/ober%c3%b6sterreich/?firmaid=3be5dac4-e28d-4796-b36f-28ed05655499&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
79,Maillog Richter & Weiner Ges.m.b.H.,Markus Richter; Roland Weiner,Markus Richter; Roland Weiner,Markus Richter; Roland Weiner,,https://firmen.wko.at/maillog-richter-und-weiner-gesmbh/wien/?firmaid=fae681e6-fc1f-4091-8322-53fb66f2bdea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
80,MALCAMPO Transporte GmbH,Martin Cancola; Ulla Cancola,Ulla Cancola,Cancola Management Consulting GmbH; Martin Cancola direct,,https://firmen.wko.at/malcampo-transporte-gmbh/ober%c3%b6sterreich/?firmaid=3054cc91-4db0-4b88-817b-00b2ef928cbb&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
81,Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,Markus Rolf Platzer; Markus Platzer,Markus Rolf Platzer; Markus Platzer,Markus Rolf Platzer; Markus Platzer,,https://firmen.wko.at/platzer-co-internationale-transporte-gesellschaft-mbh/steiermark/?firmaid=81b1a23e-02f3-45dd-a971-92974ca0bf09&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
82,R & W Internationale Speditionsgesellschaft m.b.H.,Anton Wallinger; Gerald Roider; Roland Schmolz,Anton Wallinger,Anton Wallinger; Gerald Roider; Roland Schmolz,,https://firmen.wko.at/r-w-internationale-speditionsgesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=6697188d-a1ff-498e-b9fc-9be712a125f0&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
83,R & W SPEDITION-LOGISTIC GMBH,Anton Wallinger; Gerald Roider; Roland Schmolz,Anton Wallinger,Anton Wallinger; Gerald Roider; Roland Schmolz,,https://firmen.wko.at/r-und-w-spedition-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=a679db19-3226-413c-ac87-95f5bc23a21e&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
84,ROLAND Internationale Spedition GmbH,Christian Gutjahr; Nikolaus Hirnschall,Christian Gutjahr; Mag. Nikolaus Hirnschall,Hera Logistics Holding GmbH; NHCG Beteiligungs GmbH,,https://firmen.wko.at/roland-internationale-spedition-gmbh/ober%c3%b6sterreich/?firmaid=4249e922-7fc9-423c-8536-988724a9cb80&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
85,Schneckenreither Internationale Spedition GmbH,Sonja Schneckenreither; Gerhard Gschwendtner,"Sonja Schneckenreither, BSc; Gerhard Gschwendtner, MBA",SAW-Holding GmbH; Gerhard Roithner,,https://firmen.wko.at/schneckenreither-internationale-spedition-gmbh/ober%c3%b6sterreich/?firmaid=6c51d5f5-2de8-43c3-834b-7be334d1f30f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
86,Spedition Böntner GmbH,Karl Böntner,Mag. Karl Böntner jun.,BÖNTNER Holding GmbH,,https://firmen.wko.at/spedition-b%c3%b6ntner-gmbh/ober%c3%b6sterreich/?firmaid=6f8f4c14-453b-49ea-aa57-9179f97bc80d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
87,Spedition Engel Mayr GmbH,Valentin Peklar; Peter Schneider,Mag. Valentin Peklar; Peter Schneider,VITAIRA AcquiCo 01 Austria GmbH,,https://firmen.wko.at/spedition-engel-mayr-gmbh/ober%c3%b6sterreich/?firmaid=f08647cb-4461-4970-9004-948181c53cfa&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
88,Spedition Sobolak Internationale Transporte Ges.m.b.H.,Peter Sobolak; Jutta Sobolak,Jutta Sobolak,Peter Sobolak,,https://firmen.wko.at/spedition-sobolak-internationale-transporte-gesmbh/nieder%c3%b6sterreich/?firmaid=14db37c7-d8c9-41ec-92c3-4ed16cd178e8&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
89,Spedition Lang GesmbH,Karin Lang,Karin Lang,Karin Lang,,https://firmen.wko.at/spedition-lang-gesmbh/nieder%c3%b6sterreich/?firmaid=72a5f9d1-34ad-4b6c-b559-cb3a209ff673&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
90,Spedition MURNIG Kommanditgesellschaft,Brigitte Elke Murnig,Brigitte Elke Murnig,Brigitte Elke Murnig (Komplementärin); Dr. Florian Walther (Kommanditist),,https://firmen.wko.at/spedition-murnig-kommanditgesellschaft/k%c3%a4rnten/?firmaid=7a577184-64c8-4bbb-9700-c4d4d44ff932&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
91,STARK Internationale Transporte Gesellschaft m.b.H.,Christian Höllwarth,Christian Höllwarth,Intertrans Beteiligung GmbH,,https://firmen.wko.at/stark-internationale-transporte-gesellschaft-mbh/tirol/?firmaid=883d8d1d-a3de-4ac8-90bb-1c755d2858cb&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
92,SUXESS LOGISTIC GmbH,Zsuzsanna Schenk; Hüseyin Metin Öllinger,Zsuzsanna Schenk; Hüseyin Metin Öllinger,Zsuzsanna Schenk; HMG Holding GmbH,,https://firmen.wko.at/suxess-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=1729194c-80e5-4712-bb78-d010d73915a9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
93,UPS SCS (Austria) Logistic GmbH,Susanne Klingler-Werner,Susanne Klingler-Werner,UPS Logistics Group International B.V.,,https://firmen.wko.at/ups-scs-austria-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=2b88929d-0807-42d1-af6b-8a99010cfca3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
94,VOGTRANS Speditions- und Verpackungsgesellschaft m.b.H.,Andreas Pirschl; Matthias Ritzberger,Andreas Pirschl; Mag. Matthias Ritzberger,VOG Einfuhr und Großhandel AG,,https://firmen.wko.at/vogtrans-speditions-und-verpackungsgesellschaft-mbh/ober%c3%b6sterreich/?firmaid=b67934ad-b01d-4f6c-95e6-3ee5356c4ac9&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
95,Wolfsgruber Logistik GmbH,Franz Wolfsgruber; Johann Franz Wolfsgruber,Franz Wolfsgruber; Johann Franz Wolfsgruber jr.,Wolfsgruber Holding GmbH; ultimate private owners Franz/Johann/Johann Franz Wolfsgruber,,https://firmen.wko.at/wolfsgruber-logistik-gmbh/steiermark/?firmaid=24bbd239-2cff-4280-b55f-8c0d9e3d5ca1&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
96,Zugvogel Speditions GmbH,Matthias Fischer; Achim Obkircher,Matthias Fischer; Achim Obkircher,Zugvogel Holding GmbH,,https://firmen.wko.at/zugvogel-speditions-gmbh/tirol/?firmaid=7f832ad6-67e5-4d03-a897-fce9d65a692f&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
97,Rhenus Logistics Austria GmbH,Patrick Schäffer; Thomas Doblinger,Patrick Schäffer; Thomas Doblinger,Rhenus Beteiligungs GmbH,,https://firmen.wko.at/rhenus-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=8346cd46-4cff-41db-bb2e-af8303e76e69&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
98,Lagermax Lagerhaus und Speditions Aktiengesellschaft,Thomas Baumgartner; Alexander Friesz,Thomas Baumgartner; Alexander Friesz (Vorstand),Baumgartner Privatstiftung; Urs Meister; Alexander Friesz; Michou Friesz; Anja Rabitsch; Ingrid Friesz-Meraner; others,,https://firmen.wko.at/lagermax-lagerhaus-und-speditions-aktiengesellschaft/salzburg/?firmaid=b3849ccd-8cf0-4ee1-8ce5-152ae5cacbaf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
99,Augustin Quehenberger Group GmbH,Klaus Hrazdira; Robert Hartmann; Christian Fürstaller,Klaus Hrazdira; Robert Hartmann,AUGUSTIN QUEHENBERGER GROUP GMBH,,https://firmen.wko.at/augustin-quehenberger-group-gmbh/salzburg/?firmaid=4bd31527-8a5e-4fed-9789-645fdf73c116&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
100,LOG-IN Logistik GmbH,Klaus Hrazdira,Klaus Hrazdira,CF Logistics GmbH,,https://firmen.wko.at/log-in-logistik-gmbh/salzburg/?firmaid=36aaf61a-a283-48fa-ae2c-c61f983fbc3f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
101,Quehenberger Air + Ocean GmbH,Rodolphe Schoettel; Klaus Hrazdira; Christian Fürstaller,Rodolphe Schoettel; Klaus Hrazdira,AUGUSTIN QUEHENBERGER GROUP GMBH,,https://firmen.wko.at/quehenberger-air-ocean-gmbh/salzburg/?firmaid=33b45da4-137b-475d-9a99-59f5ac815b7a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
102,Quehenberger Logistics GmbH,Christian Fürstaller; Rodolphe Schoettel,Christian Fürstaller; Rodolphe Schoettel; Andreas Letsch; Klaus Hrazdira; Alexander Piwonka,AUGUSTIN QUEHENBERGER GROUP GMBH,,https://firmen.wko.at/quehenberger-logistics-gmbh/salzburg/?firmaid=5a305101-c492-4b36-bd6a-66ccccfe7b7b&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
103,Deufol Austria GmbH,Johannes Rieder; Jürgen Hillen; Ebrahem Al Kadari,Johannes Rieder; Jürgen Hillen; Ebrahem Al Kadari,Deufol Austria Management GmbH,,https://firmen.wko.at/deufol-austria-gmbh/nieder%c3%b6sterreich/?firmaid=ea903386-e913-4fbc-8106-1e6644f352ab&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
104,Hillebrand Gori Austria GmbH,Mehmet Kalkan; Søren Nymann,Mehmet Kalkan; Søren Nymann,Hillebrand Gori Group GmbH,,https://firmen.wko.at/hillebrand-gori-austria-gmbh/wien/?firmaid=7694249b-927d-4928-b60c-56d2db58105c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
105,Hödlmayr High & Heavy GmbH,Helmut Zwirner; Markus Formann; Michael Wöckinger; Martin Steinkellner,Helmut Zwirner; Markus Formann; Michael Wöckinger; Martin Steinkellner,Hödlmayr International GmbH,,https://firmen.wko.at/h%c3%b6dlmayr-high-heavy-gmbh/ober%c3%b6sterreich/?firmaid=56fa2dc4-1478-4351-93aa-a2d99461510f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
106,TEK TRANSPORT s.r.o.,Martin Anthony Bittner,Martin Anthony Bittner,European Cargo Services S.A.,,https://firmen.wko.at/tek-transport-sro/nieder%c3%b6sterreich/?firmaid=73987aaa-6025-4f03-883c-c689609130f0&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
107,REICHHART Logistik Austria GmbH,Alexander Reichhart,Alexander Reichhart,Avallonis Beteiligungs GmbH,,https://firmen.wko.at/reichhart-logistik-austria-gmbh/nieder%c3%b6sterreich/?firmaid=03057462-2f28-4a92-a4f8-ab65f5dedee4&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
108,Schachinger Logistik GmbH,Maximilian Schachinger; Ehrenfried Werderits; Günther Gfrerrer; Andreas Pesenhofer,Ehrenfried Werderits; Günther Gfrerrer; Andreas Pesenhofer,1-0-1 GmbH; Schachinger Familienprivatstiftung; Maximilian Schachinger,,https://firmen.wko.at/schachinger-logistik-gmbh/ober%c3%b6sterreich/?firmaid=624eeb11-0402-4acb-b47a-6a9f46933da9&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
109,G. Englmayer Transport GmbH,Andreas Gaber,Andreas Gaber,WIESINGER Privatstiftung,,https://firmen.wko.at/genglmayer-transport-gmbh/nieder%c3%b6sterreich/?firmaid=0aec2c1a-50c4-4b23-bb0a-c3ef41a70f80&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
110,Gebrüder Weiss Paketdienst Gesellschaft m.b.H.,Andreas Winkelmayer; Daniel Neumann; Peter Schafleitner,Andreas Winkelmayer; Daniel Neumann; Peter Schafleitner,Gebrüder Weiss Gesellschaft m.b.H.; GW BeteiligungsGmbH,,https://firmen.wko.at/gebr%c3%bcder-weiss-paketdienst-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=0c50bef1-c9d8-4f1d-813d-3518517dd16a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
111,Gebrüder Weiss Transport Logistik GmbH,Alexander Wolf; Alexander Eberharter,Alexander Wolf; Alexander Eberharter,Gebrüder Weiss Gesellschaft m.b.H.,,https://firmen.wko.at/gebr%c3%bcder-weiss-transport-logistik-gmbh/nieder%c3%b6sterreich/?firmaid=8e08ea0b-28a1-413f-bb26-92a7cc89ace2&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
112,SAW International GmbH,Sonja Schneckenreither; Hermann Hofstätter,"Hermann Hofstätter; Sonja Schneckenreither, BSc",AJS Privatstiftung,,https://firmen.wko.at/saw-international-gmbh/ober%c3%b6sterreich/?firmaid=4ddbdaf8-8c97-4656-a066-52f0472c721f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
113,Wattaul Air Cargo Gesellschaft m.b.H.,Erwin Wattaul; Johann Wattaul,"Erwin Wattaul, MBA, MSc; Johann Wattaul",GWH Gebrüder Wattaul Holding GmbH,,https://firmen.wko.at/wattaul-air-cargo-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=7197910a-b196-44f4-bc81-a99a9b050204&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
114,Innofreight Speditions GmbH,Primoz Rauter; Petr Valach,Primoz Rauter; Petr Valach,INNOFREIGHT Consulting & Logistics GmbH,,https://firmen.wko.at/innofreight-speditions-gmbh/steiermark/?firmaid=c3de8bcf-e18e-445b-a5dc-2a20329484d0&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
115,Nippon Express Europe GmbH,Luca Ferrara; Toshihide Kishimoto; Christoph Stein,Luca Ferrara; Toshihide Kishimoto; Mag. Christoph Stein,Nippon Express (Europe) GmbH,,https://firmen.wko.at/nippon-express-europe-gmbh/nieder%c3%b6sterreich/?firmaid=1486efdc-ad02-4005-aa1e-e25d29213285&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
116,Hödlmayr Rail Logistics GmbH,Viktor Beer,"Mag. Viktor Beer, MBA",Hödlmayr International GmbH,,https://firmen.wko.at/h%c3%b6dlmayr-rail-logistics-gmbh/ober%c3%b6sterreich/?firmaid=4d122f16-477a-436c-b93f-54ccb5d3f8d4&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
117,EUROTRANS Handelsgesellschaft m.b.H.,Werner Sitzmann; Richard Kühholzer,"Werner Sitzmann; Richard Kühholzer, MBA",ERC Group GmbH; SHARK Holding GmbH,,https://firmen.wko.at/eurotrans-handelsgesellschaft-mbh/salzburg/?firmaid=74dc0db3-86c7-4d25-9255-e5894463da87&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
118,BÖNTNER Holding GmbH,Karl Böntner,Mag. Karl Böntner jun.,BÖNTNER Holding GmbH,,https://firmen.wko.at/b%c3%b6ntner-holding-gmbh/ober%c3%b6sterreich/?firmaid=5a831553-111c-4b50-abf0-b9a6975fc09a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
