canonical_key,company_name,aliases,wko_standort_count,states_seen,firmaids,addresses,website,all_websites,email,phones,profile_url
ebster betriebsimmobilien service gmbh,Ebster Betriebsimmobilien Service GmbH,Ebster Betriebsimmobilien Service GmbH,1,salzburg,718fa9ca-e6e0-4665-b301-b432fd492b84,Hauptstraße 109 5302 Henndorf am Wallersee,,,,,https://firmen.wko.at/ebster-betriebsimmobilien-service-gmbh/salzburg/?firmaid=718fa9ca-e6e0-4665-b301-b432fd492b84&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
ece projektmanagement austria gmbh,ECE Projektmanagement Austria GmbH,ECE Projektmanagement Austria GmbH,1,wien,84fa8cee-9437-4f81-8f45-464851c5f5c4,"Albertgasse 35, Tür 1 1080 Wien",,,,,https://firmen.wko.at/ece-projektmanagement-austria-gmbh/wien/?firmaid=84fa8cee-9437-4f81-8f45-464851c5f5c4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eco immobilientreuhand gmbh,ECO Immobilientreuhand GmbH,ECO Immobilientreuhand GmbH,1,wien,26ba4b05-4048-4d4e-a088-0f1907884802,Martinstraße 81 1180 Wien,,,office@eco-immobilien.at,01/402%2052%2011-0,https://firmen.wko.at/eco-immobilientreuhand-gmbh/wien/?firmaid=26ba4b05-4048-4d4e-a088-0f1907884802&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eco invest vermögensverwaltungs und beteiligungs gmbh,ECO INVEST Vermögensverwaltungs- und Beteiligungs GmbH,ECO INVEST Vermögensverwaltungs- und Beteiligungs GmbH,1,kärnten,2f4990d6-f046-4bf4-89af-9280214cc87c,Völkermarkter Ring 1 9020 Klagenfurt am Wörthersee,,,,,https://firmen.wko.at/eco-invest-verm%c3%b6gensverwaltungs-und-beteiligungs-gmbh/k%c3%a4rnten/?firmaid=2f4990d6-f046-4bf4-89af-9280214cc87c&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
edr immobilienverwaltung gmbh,EDR Immobilienverwaltung GmbH,EDR Immobilienverwaltung GmbH,1,wien,6e63db4d-8207-4c0d-a761-b293517eb95c,Nußberggasse 8A 1190 Wien,http://www.edr.or.at/,http://www.edr.or.at/,edr.immobilienverwaltungGmbH@inode.at,+43(0)15132601,https://firmen.wko.at/edr-immobilienverwaltung-gmbh/wien/?firmaid=6e63db4d-8207-4c0d-a761-b293517eb95c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eduard pallavicini,Eduard Pallavicini,Eduard Pallavicini,1,wien,812e13ec-47da-41e5-bcd0-86e09d2d9fea,Josefsplatz 5 1010 Wien,,,,,https://firmen.wko.at/eduard-pallavicini/wien/?firmaid=812e13ec-47da-41e5-bcd0-86e09d2d9fea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eduard precht,Eduard Precht,Eduard Precht,1,wien,bdea2098-8469-4994-9282-3e89458a0d3c,Mandlgasse 33/20 1120 Wien,,,prechtre@gmail.com,+%2043%20%20(664)%20%202380241,https://firmen.wko.at/eduard-precht-real-estate-manager/wien/?firmaid=bdea2098-8469-4994-9282-3e89458a0d3c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
egger estate management gmbh,Egger Estate Management GmbH,Egger Estate Management GmbH,1,oberösterreich,6b5e89bd-ac2d-41fb-b8e3-47446cfc9a51,Badgasse 4 4910 Ried im Innkreis,https://www.eggerem.at/,https://www.eggerem.at/,office@eggerem.at,+436643982811,https://firmen.wko.at/egger-estate-management-gmbh-immobilientreuh%c3%a4nder/ober%c3%b6sterreich/?firmaid=6b5e89bd-ac2d-41fb-b8e3-47446cfc9a51&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
egp immoconsult gmbh,EGP Immoconsult GmbH,EGP Immoconsult GmbH,1,burgenland,7c6e6f17-3b8f-43ee-bff2-2c7573db4139,Triftgasse 3 7021 Draßburg,,,,,https://firmen.wko.at/egp-immoconsult-gmbh/burgenland/?firmaid=7c6e6f17-3b8f-43ee-bff2-2c7573db4139&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter
ehrlich immobilien gmbh,EHRLICH Immobilien GmbH,EHRLICH Immobilien GmbH,1,wien,c63444b2-e8f1-4517-879f-2a9d8f0d971f,Nestroygasse (Penzing) 4 1140 Wien,,,,,https://firmen.wko.at/ehrlich-immobilien-gmbh/wien/?firmaid=c63444b2-e8f1-4517-879f-2a9d8f0d971f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eigentum immobilienverwaltungs gesellschaft m b h,Eigentum Immobilienverwaltungs Gesellschaft m.b.H.,Eigentum Immobilienverwaltungs Gesellschaft m.b.H.,1,wien,23d450ea-af04-4dde-b3d6-701d42e69b92,Dresdner Straße 68/2/3+4 1200 Wien,http://www.eiv.at/,http://www.eiv.at/,ursula.apollonio@eiv.at,+43%201%20811%2019%20-%20216,https://firmen.wko.at/eigentum-immobilienverwaltungs-gesellschaft-mbh/wien/?firmaid=23d450ea-af04-4dde-b3d6-701d42e69b92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
einsimmo gmbh,einsimmo GmbH,einsimmo GmbH,1,burgenland,8998d22f-782d-47bc-a327-bb60bfbc78eb,Ruster Straße 62 7000 Eisenstadt,,,,,https://firmen.wko.at/einsimmo-gmbh/burgenland/?firmaid=8998d22f-782d-47bc-a327-bb60bfbc78eb&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter
eiv hausverwaltungs gmbh,EIV Hausverwaltungs GmbH,EIV Hausverwaltungs GmbH,1,oberösterreich,eefe8610-4a13-42eb-8e97-1f0b4444a113,Landstraße 10 4020 Linz,,,,,https://firmen.wko.at/eiv-hausverwaltungs-gmbh/ober%c3%b6sterreich/?firmaid=eefe8610-4a13-42eb-8e97-1f0b4444a113&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
eko immobilien verwaltungs u vermittlungsgesellschaft m b h,EKO Immobilien Verwaltungs- u. Vermittlungsgesellschaft m.b.H.,EKO Immobilien Verwaltungs- u. Vermittlungsgesellschaft m.b.H.,2,burgenland | wien,58d55786-83b1-4c35-b5fa-319c8fcdea06 | dfef9fda-43a2-463c-9267-3b3a2aad5245,Herrschaftsweg 4 7551 Stegersbach | Wimbergergasse 30/3 1070 Wien,,,office@eko-immobilien.at,+43%2001%20214%2038%2083-0,https://firmen.wko.at/eko-immobilien-verwaltungs-u-vermittlungsgesellschaft-mbh/burgenland/?firmaid=58d55786-83b1-4c35-b5fa-319c8fcdea06&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter
ekz immobilienmanagement gmbh,EKZ Immobilienmanagement GmbH,EKZ Immobilienmanagement GmbH,1,niederösterreich,f4fea2cd-7a44-4d42-8832-7ccd56bfcd15,Makronweg 1 3580 St. Bernhard-Frauenhofen,,,,,https://firmen.wko.at/ekz-immobilienmanagement-gmbh/nieder%c3%b6sterreich/?firmaid=f4fea2cd-7a44-4d42-8832-7ccd56bfcd15&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
el immobilienverwaltung gmbh,EL Immobilienverwaltung GmbH,EL Immobilienverwaltung GmbH,1,salzburg,77122eb8-fe2d-4e6f-a8c3-ff89c5cae843,Hauptstraße 21 5600 St.Johann/Pongau,,,,,https://firmen.wko.at/el-immobilienverwaltung-gmbh/salzburg/?firmaid=77122eb8-fe2d-4e6f-a8c3-ff89c5cae843&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
elag immobilien ag,ELAG Immobilien AG,ELAG Immobilien AG,1,oberösterreich,966773de-671d-40f1-9f17-656c8aef7639,Hafnerstraße 11 4020 Linz,https://www.elag.at/,https://www.elag.at/,office@elag.at,+43%20(0)732%20604138-0,https://firmen.wko.at/elag-immobilien-ag/ober%c3%b6sterreich/?firmaid=966773de-671d-40f1-9f17-656c8aef7639&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
eleon immobilien management e u,Eleon Immobilien Management e.U.,Eleon Immobilien Management e.U.,1,oberösterreich,80f60150-1d5b-4f1d-ac47-2269660639f8,Linzerberg 5 4209 Engerwitzdorf,https://eleon.at/,https://eleon.at/,office@eleon.at,+43%20660%205524527,https://firmen.wko.at/eleon-immobilien-management-eu/ober%c3%b6sterreich/?firmaid=80f60150-1d5b-4f1d-ac47-2269660639f8&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
elfriede erlach,Elfriede Erlach,Elfriede Erlach,1,wien,12d9dba0-75bb-4117-aec2-08de1e14b98a,Schmelzgasse 3 1020 Wien,http://www.hverlach.at/,http://www.hverlach.at/,kanzlei@hverlach.at,+43%2012166656,https://firmen.wko.at/elfriede-erlach/wien/?firmaid=12d9dba0-75bb-4117-aec2-08de1e14b98a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
elfriede rössner verwaltung und vermittlung von immobilien gmbh,Elfriede Rössner Verwaltung und Vermittlung von Immobilien GmbH,Elfriede Rössner Verwaltung und Vermittlung von Immobilien GmbH,1,wien,f81cac1f-0b75-41d3-8bb1-5ebc7d88d259,Kienmayergasse 19 1140 Wien,,,m.miel@roessner.at,01/982%2072%2010-0,https://firmen.wko.at/elfriede-r%c3%b6ssner-verwaltung-und-vermittlung-von-immobilien-gmbh/wien/?firmaid=f81cac1f-0b75-41d3-8bb1-5ebc7d88d259&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
elisabeth anna drack m b a,"Elisabeth Anna Drack, M.B.A.","Elisabeth Anna Drack, M.B.A.",1,salzburg,48da325e-a86e-41fd-8dfc-a7599d44a35f,Baderstraße 8 5620 Schwarzach im Pongau,,,e.drack@sbg.at,06642520755,https://firmen.wko.at/elisabeth-anna-drack-mba/salzburg/?firmaid=48da325e-a86e-41fd-8dfc-a7599d44a35f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
elisabeth margaretha wallner,Elisabeth Margaretha Wallner,Elisabeth Margaretha Wallner,1,oberösterreich,e19e3d63-d019-4147-8ba9-07634c987c2e,Haratzmüllerstr. 27 4400 Steyr,,,e.m.wallner@aon.at,07252/47301 | 0664/5853349,https://firmen.wko.at/elisabeth-margaretha-wallner/ober%c3%b6sterreich/?firmaid=e19e3d63-d019-4147-8ba9-07634c987c2e&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
elisabeth pigel,Elisabeth Pigel,Elisabeth Pigel,1,wien,7f071aca-0348-4297-bf93-3b59ed09116a,Kirchengasse (Neubau) 43/6 1070 Wien,,,office@pigel.at,15237292,https://firmen.wko.at/elisabeth-pigel/wien/?firmaid=7f071aca-0348-4297-bf93-3b59ed09116a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
epi erich podstatny e u,EPI Erich Podstatny e.U.,EPI Erich Podstatny e.U.,2,wien,08e84160-a626-4cd5-942a-3180de9fce39 | e6662a70-8da2-45e0-b8ec-51e48f18f297,Apollogasse 3/204 1070 Wien | Windmühlgasse 15/1/4 1060 Wien,http://www.epi.co.at/,http://www.epi.co.at/,office@epi.co.at,0699/20212223,https://firmen.wko.at/epi-erich-podstatny-eu-ep-immobilientreuhand/wien/?firmaid=08e84160-a626-4cd5-942a-3180de9fce39&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eq hospitality gmbh,EQ Hospitality GmbH,EQ Hospitality GmbH,1,wien,5ca5e86b-9450-4382-b927-8c44a2ceaddc,"Am grünen Prater 13, Tür 1 1020 Wien",,,,,https://firmen.wko.at/eq-hospitality-gmbh/wien/?firmaid=5ca5e86b-9450-4382-b927-8c44a2ceaddc&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
equilibria immobilien flexco,Equilibria Immobilien FlexCo,Equilibria Immobilien FlexCo,1,wien,b0938271-586c-4c21-b4ac-3a7c14ae1a00,"Am grünen Prater 13, Tür 1 1020 Wien",,,,,https://firmen.wko.at/equilibria-immobilien-flexco/wien/?firmaid=b0938271-586c-4c21-b4ac-3a7c14ae1a00&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
ergotec entwicklungs und anlagenberatungs g m b h,ERGOTEC Entwicklungs- & Anlagenberatungs G.m.b.H.,ERGOTEC Entwicklungs- & Anlagenberatungs G.m.b.H.,1,kärnten,b2d43aff-53e4-4435-aaa1-8e3c3a717018,Bahnhofstraße 6 9020 Klagenfurt am Wörthersee,,,,,https://firmen.wko.at/ergotec-entwicklungs-und-anlagenberatungs-gmbh/k%c3%a4rnten/?firmaid=b2d43aff-53e4-4435-aaa1-8e3c3a717018&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
erich rist gesellschaft m b h,Erich Rist Gesellschaft m.b.H.,Erich Rist Gesellschaft m.b.H.,1,wien,afd6a9ec-e079-4898-906c-b893de24ba00,01 310 94 95 0676 424 84 04,http://iws-rist.at/,http://iws-rist.at/,office@iws-rist.at,01%20310%2094%2095 | 0676%20424%2084%2004,https://firmen.wko.at/erich-rist-gesellschaft-mbh-institut-f%c3%9cr-wirtschaftsservice/wien/?firmaid=afd6a9ec-e079-4898-906c-b893de24ba00&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
erna pirkner,Erna Pirkner,Erna Pirkner,1,wien,23543386-cc0d-456e-b70c-0bf80ee52aba,Förstergasse 8/26 1020 Wien,,,erna.pirkner@aon.at,01/330%2076%2066,https://firmen.wko.at/erna-pirkner/wien/?firmaid=23543386-cc0d-456e-b70c-0bf80ee52aba&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
ernestine zickler immobilienverwaltung und makler e u,Ernestine Zickler Immobilienverwaltung und Makler e.U.,Ernestine Zickler Immobilienverwaltung und Makler e.U.,1,wien,2e1ad657-ecdf-45fc-b002-1ba1d7581391,Währinger Straße 112 1180 Wien,,,office@zickler.co.at,+431470%2076%2061,https://firmen.wko.at/ernestine-zickler-immobilienverwaltung-und-makler-eu-immobilienverwaltung/wien/?firmaid=2e1ad657-ecdf-45fc-b002-1ba1d7581391&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
ernst karl plech,Ernst Karl Plech,Ernst Karl Plech,1,wien,e2ac4bad-886b-4c4f-a506-58110282e28a,"Trattnerhof 2, (Graben 29 A) 1010 Wien",http://www.plech.at/,http://www.plech.at/,office@plech.at,533%2080%2013,https://firmen.wko.at/ernst-karl-plech/wien/?firmaid=e2ac4bad-886b-4c4f-a506-58110282e28a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
ernst kirchweger,Ernst Kirchweger,Ernst Kirchweger,1,niederösterreich,63275466-5736-4bd5-9624-f59dba408670,0222 8692250,,,,0222%20%208692250,https://firmen.wko.at/ernst-kirchweger/nieder%c3%b6sterreich/?firmaid=63275466-5736-4bd5-9624-f59dba408670&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
erra gmbh,ERRA GmbH,ERRA GmbH,1,wien,d206a187-1fce-4d1c-abec-2078dedcf4a0,Währinger Straße 67 1090 Wien,,,,,https://firmen.wko.at/erra-gmbh/wien/?firmaid=d206a187-1fce-4d1c-abec-2078dedcf4a0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
erste group immorent gmbh,Erste Group Immorent GmbH,Erste Group Immorent GmbH,1,wien,fdce4001-db8e-4abe-bca3-5b26a315c7dd,Am Belvedere 1 1100 Wien,https://www.erstegroupimmorent.com/,https://www.erstegroupimmorent.com/,office.wien@immorent.com,05010027000,https://firmen.wko.at/erste-group-immorent-gmbh-erste-group-immorent-gmbh/wien/?firmaid=fdce4001-db8e-4abe-bca3-5b26a315c7dd&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
essam faltas,Essam Faltas,Essam Faltas,1,wien,a3316f89-b751-4fef-8920-4c4d98099c41,Gentzgasse 22-24/4/1 1180 Wien,http://www.faltas.at/,http://www.faltas.at/,office@faltas.at,+43%201%20470%2088%208811 | +43%20660%20404%2066%2095,https://firmen.wko.at/essam-faltas-faltas-consulting/wien/?firmaid=a3316f89-b751-4fef-8920-4c4d98099c41&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eureal realitäten gesellschaft m b h,EUREAL Realitäten-Gesellschaft m.b.H.,EUREAL Realitäten-Gesellschaft m.b.H.,1,salzburg,05b968f5-409c-497e-a361-de56921403bc,Ginzkeyplatz 11 5020 Salzburg,,,hausverwaltung@eureal.net,0662/621%20380,https://firmen.wko.at/eureal-realit%c3%a4ten-gesellschaft-mbh-eureal-realit%c3%84ten-gesmbh/salzburg/?firmaid=05b968f5-409c-497e-a361-de56921403bc&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
europe holding investing managing und participating gmbh,"Europe Holding Investing, Managing & Participating GmbH","Europe Holding Investing, Managing & Participating GmbH",1,wien,00d7539c-8d3b-48e6-9061-91f58f9541d3,Leo-Mathauser-Gasse 66/5 1230 Wien,http://www.europe-holding.eu/,http://www.europe-holding.eu/,e.holding@europe-holding.eu,+43%201%208901571%2010,https://firmen.wko.at/europe-holding-investing-managing-und-participating-gmbh-europe-holding-gmbh/wien/?firmaid=00d7539c-8d3b-48e6-9061-91f58f9541d3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
europe plan architects engineers und experts gmbh,"Europe Plan Architects, Engineers & Experts GmbH","Europe Plan Architects, Engineers & Experts GmbH",1,wien,38275252-5cdd-4d3c-b692-612860c0ad85,"Leo-Mathauser-Gasse 66, Tür 5 1230 Wien",http://www.europe-plan.eu/,http://www.europe-plan.eu/,e.plan@europe-plan.eu,+43%201%20890157130 | +43%20664%202532515,https://firmen.wko.at/europe-plan-architects-engineers-und-experts-gmbh-europe-plan-gmbh/wien/?firmaid=38275252-5cdd-4d3c-b692-612860c0ad85&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
europe real consulting developing und marketing gmbh,"Europe Real Consulting, Developing & Marketing GmbH","Europe Real Consulting, Developing & Marketing GmbH",1,wien,e338fdc4-c57b-4642-b9dc-f02ea7226a42,Leo-Mathauser-Gasse 66/5 1230 Wien,http://www.europe-real.eu/,http://www.europe-real.eu/,e.real@europe-real.eu,+43%201%208901571%2020 | +43%20664%202532515,https://firmen.wko.at/europe-real-consulting-developing-und-marketing-gmbh-alles-rund-um-die-bauten-und-immobilien/wien/?firmaid=e338fdc4-c57b-4642-b9dc-f02ea7226a42&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
eva bretterklieber msc,"Eva Bretterklieber, MSc","Eva Bretterklieber, MSc",1,steiermark,493f32da-8e59-4313-a250-06943c0a84b3,Am Laternenhang 5 8046 Stattegg,,,,,https://firmen.wko.at/eva-bretterklieber-msc/steiermark/?firmaid=493f32da-8e59-4313-a250-06943c0a84b3&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
eva stiermayr,Eva Stiermayr,Eva Stiermayr,1,wien,f75709fe-cf1f-4409-9ca0-6c29a9266a3c,Schellinggasse 6/7 1010 Wien,,,,0664/301%2042%2007,https://firmen.wko.at/eva-stiermayr/wien/?firmaid=f75709fe-cf1f-4409-9ca0-6c29a9266a3c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
evd asset management gmbh,EVD Asset Management GmbH,EVD Asset Management GmbH,1,niederösterreich,11264743-28b4-430f-82fa-754e7a3b88db,Gabrielerstraße 58 2344 Maria Enzersdorf,,,,,https://firmen.wko.at/evd-asset-management-gmbh/nieder%c3%b6sterreich/?firmaid=11264743-28b4-430f-82fa-754e7a3b88db&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
ewald roschka gesellschaft m b h,Ewald Roschka Gesellschaft m.b.H.,Ewald Roschka Gesellschaft m.b.H.,1,wien,ce1c246f-cee6-4e2b-922c-8bffd9824675,"Witthauergasse 29, Tür 6 1180 Wien",,,roschka@chello.at,01%20214%2002%2011-0,https://firmen.wko.at/ewald-roschka-gesellschaft-mbh/wien/?firmaid=ce1c246f-cee6-4e2b-922c-8bffd9824675&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
ewalt gerersdorfer,Ewalt Gerersdorfer,Ewalt Gerersdorfer,1,wien,12dd57f8-924f-4476-8b2f-00c8b0bf0b6b,Ettenreichgasse 9/13 1100 Wien,,,immobilien@gerersdorfer.com,01/604%2035%2076,https://firmen.wko.at/ewalt-gerersdorfer/wien/?firmaid=12dd57f8-924f-4476-8b2f-00c8b0bf0b6b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
ewd management gmbh,EWD Management GmbH,EWD Management GmbH,1,niederösterreich,b97ad177-6715-469d-ac16-3939d459050f,Palmersstraße 6-8 2351 Wiener Neudorf,,,,,https://firmen.wko.at/ewd-management-gmbh/nieder%c3%b6sterreich/?firmaid=b97ad177-6715-469d-ac16-3939d459050f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
f und s real estate solutions gmbh,F & S Real Estate Solutions GmbH,F & S Real Estate Solutions GmbH,4,niederösterreich | salzburg | wien,584b13f5-dd0c-4772-8e8e-4b944cf50894 | 063047aa-4f42-47ca-80a6-c5d7dd82a464 | 1115f6ab-3c21-4087-9682-4d44a82600ee | 0a6d9a42-adce-48d9-81f0-f626bf33b640,Gewerbegebiet Nord 5 5204 Straßwalchen | Reichsstraße 22 2401 Fischamend | Hofer Straße 1 3382 Loosdorf | Warneckestraße 10 1110 Wien,,,,,https://firmen.wko.at/f-und-s-real-estate-solutions-gmbh/salzburg/?firmaid=584b13f5-dd0c-4772-8e8e-4b944cf50894&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
f und i verwaltungs gmbh,F&I Verwaltungs GmbH,F&I Verwaltungs GmbH,1,oberösterreich,9b4b597a-2b55-4fd2-b3f1-2d3c6b3af3e5,Ebelsberger Schloßweg 7 4030 Linz,,,,,https://firmen.wko.at/fundi-verwaltungs-gmbh/ober%c3%b6sterreich/?firmaid=9b4b597a-2b55-4fd2-b3f1-2d3c6b3af3e5&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
f hausverwaltung gmbh,f-hausverwaltung GmbH,f-hausverwaltung GmbH,1,oberösterreich,0cc40489-ff10-46ff-ad7d-71a65686e694,Bad Mühllacken 39 4101 Feldkirchen an der Donau,,,,,https://firmen.wko.at/f-hausverwaltung-gmbh/ober%c3%b6sterreich/?firmaid=0cc40489-ff10-46ff-ad7d-71a65686e694&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
f a m realitäten gesellschaft m b h,F.A.M. Realitäten Gesellschaft m.b.H.,F.A.M. Realitäten Gesellschaft m.b.H.,1,steiermark,84714612-239b-43ac-8107-c417b2893d83,Lastenstraße 11 8020 Graz,,,,,https://firmen.wko.at/fam-realit%c3%a4ten-gesellschaft-mbh/steiermark/?firmaid=84714612-239b-43ac-8107-c417b2893d83&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
f m hämmerle holding ag,F.M. Hämmerle Holding AG,F.M. Hämmerle Holding AG,1,vorarlberg,96257b7f-8993-4b3b-aceb-5d7a91638b83,Steinebach 18 6850 Dornbirn,,,b.blodnig@fmh.at,05572/339%2031,https://firmen.wko.at/fm-h%c3%a4mmerle-holding-ag/vorarlberg/?firmaid=96257b7f-8993-4b3b-aceb-5d7a91638b83&standortid=8&standortname=vorarlberg%20%28bundesland%29&suchbegriff=immobilienverwalter
fabularis immobilien management gmbh,FABULARIS Immobilien Management GmbH,FABULARIS Immobilien Management GmbH,1,wien,9e16fc56-d20c-48fb-991a-5924f1a7e083,Wipplingerstraße 1/2.OG 1010 Wien,,,,,https://firmen.wko.at/fabularis-immobilien-management-gmbh/wien/?firmaid=9e16fc56-d20c-48fb-991a-5924f1a7e083&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
fachhochschul errichtungs und betriebs gmbh,Fachhochschul Errichtungs- und Betriebs GmbH,Fachhochschul Errichtungs- und Betriebs GmbH,1,tirol,d93335dc-7a4b-47d8-9557-556cf682d4b2,Andreas-Hofer-Straße 7 6330 Kufstein,,,,,https://firmen.wko.at/fachhochschul-errichtungs-und-betriebs-gmbh/tirol/?firmaid=d93335dc-7a4b-47d8-9557-556cf682d4b2&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
facima immobilien management gmbh,Facima Immobilien Management GmbH,Facima Immobilien Management GmbH,1,tirol,662eb709-dc67-45a3-a856-5314149c01e8,Eduard-Bodem-Gasse 1 6020 Innsbruck,http://www.facima.at/,http://www.facima.at/,office@facima.at,+43%20(0)512%20279270 | +43%20(0)664%20922%2018%2001,https://firmen.wko.at/facima-immobilien-management-gmbh/tirol/?firmaid=662eb709-dc67-45a3-a856-5314149c01e8&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
fair immobilientreuhand gmbh und co kg,FAIR Immobilientreuhand GmbH & Co KG,FAIR Immobilientreuhand GmbH & Co KG,1,steiermark,6b402771-79d5-46e2-a67a-ab7671f118f3,Burggasse 3 8600 Bruck/Mur,,,,,https://firmen.wko.at/fair-immobilientreuhand-gmbh-und-co-kg/steiermark/?firmaid=6b402771-79d5-46e2-a67a-ab7671f118f3&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
falkner und payr immobilien og,Falkner & Payr Immobilien OG,Falkner & Payr Immobilien OG,1,tirol,972e83d3-f6a6-47dc-8c91-8e120ec3c7cc,Nockhofweg 39 6162 Mutters,http://www.fpimmo.at/,http://www.fpimmo.at/,office@fpimmo.at,+436603024502 | +436603024503,https://firmen.wko.at/falkner-und-payr-immobilien-og/tirol/?firmaid=972e83d3-f6a6-47dc-8c91-8e120ec3c7cc&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
faltl und krisch immobilienverwaltung ohg,Faltl & Krisch Immobilienverwaltung OHG,Faltl & Krisch Immobilienverwaltung OHG,1,wien,92d1f724-99a4-4630-93b1-154deff884ed,Josefstädter Straße 43-45/1/3 1080 Wien,,,office@faltl-krisch.at%20,01%20403%2043%2091,https://firmen.wko.at/faltl-und-krisch-immobilienverwaltung-ohg/wien/?firmaid=92d1f724-99a4-4630-93b1-154deff884ed&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
familie kathrein kg,Familie Kathrein KG,Familie Kathrein KG,1,tirol,92d15aba-3b44-4f41-978e-b5d20215c356,"Steinbockweg 40, Top 2/13 6020 Innsbruck",,,,,https://firmen.wko.at/familie-kathrein-kg/tirol/?firmaid=92d15aba-3b44-4f41-978e-b5d20215c356&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
