company_name,wko_rows,states,places,karriere_url,karriere_name,karriere_match_score,karriere_emp_min,karriere_emp_max,karriere_employee_evidence,karriere_jobs,karriere_location_hit
"Olga Schellenberger, BSc",1,steiermark,8280 Fürstenfeld,,,,,,,,
PAUSCHENWEIN immobilien GmbH & Co KG,1,steiermark,8511 St.Stefan o.Stainz,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Petra Friedrich,1,steiermark,8054 Graz,https://www.karriere.at/f/friedrich-lettner,Friedrich Lettner GmbH,81.2,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Petzenhauser GmbH,1,steiermark,8295 St.Johann/Haide,,,,,,,,
Pilger Facility Management GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/smg-facility-management,SMG Facility Management GmbH,90.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
PUHV GmbH,1,steiermark,8010 Graz,,,,,,,,
Pures Bauen Immobilientreuhand GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/pures-bauen-immobilientreuhand,Pures Bauen Immobilientreuhand GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
RE Immobilienverwaltung GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/res-immobilienverwaltung,RES Immobilienverwaltung,97.9,,,,2,True
Realbüro Knitl Gesellschaft m.b.H.,1,steiermark,8753 Fohnsdorf,,,,,,,,
Realty Management DHSS GmbH,2,steiermark,8020 Graz | 8111 Judendorf,https://www.karriere.at/f/rk-management,rk-management GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,False
"Rene Christoph Fürntrath, BA, MA, MSc",1,steiermark,8211 Ilztal,,,,,,,,
RH1 Immobilien GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/rh1-immobilien,RH1 Immobilien GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
Richter Immobilientreuhand GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/richter-immobilientreuhand,Richter Immobilientreuhand GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
RIMMO Prime Hausverwaltung Nord GmbH,1,steiermark,8680 Mürzzuschlag,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Robert Anton Friedrich Waisocher,1,steiermark,8020 Graz,https://www.karriere.at/f/fritz-friedrich,Fritz Friedrich GesmbH,75.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,15,False
Rosemarie Lammer,1,steiermark,8442 St.Andrä-Höch,https://www.karriere.at/f/lammer-tec,LAMMER TEC GmbH,75.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,15,False
RST Realitäten-Service-Treuhand GmbH,1,steiermark,8200 Gleisdorf,https://www.karriere.at/f/dk-realit%C3%A4ten,DK Realitäten GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
RVW GmbH,1,steiermark,8042 Graz,,,,,,,,
s IM Immobilien Management GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/imv-immobilien-management,IMV Immobilien Management GmbH,94.1,101,500,Anzahl der Mitarbeiter*innen 101 - 500,13,True
S&A Immobilientreuhand GmbH,1,steiermark,8413 St.Georgen/Stiefing,https://www.karriere.at/f/s-a-immobilientreuhand,S&A Immobilientreuhand GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Schantl ITH Immobilientreuhand GmbH,1,steiermark,8041 Graz,https://www.karriere.at/f/schantl-ith-immobilientreuhand-wien,Schantl ITH Immobilientreuhand GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,True
Schönberg Immobilientreuhand GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/sch%C3%B6nberg-immobilientreuhand,Schönberg Immobilientreuhand GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
Seifert Immobilien GmbH,1,steiermark,8045 Graz,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,True
Semmernegg Immobilien GmbH,1,steiermark,8551 Wies,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
SERIA Immobilien & Treuhand GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/ps-immobilien-treuhand,PS Immobilien Treuhand GmbH,92.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
SF Bau KG,1,steiermark,8501 Spatenhof,https://www.karriere.at/f/tfm-bau,TFM Bau GmbH,76.9,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,False
Silver Panther Immo GmbH,1,steiermark,8753 Dietersdorf,https://www.karriere.at/f/ve-immo,VE Immo GmbH,72.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
SMG Facility Management GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/smg-facility-management,SMG Facility Management GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
SOB Bauträger GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/s1-bautr%C3%A4ger,S1 Bauträger GmbH,88.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
SPA & GOLF RESORT Bad Waltersdorf GmbH,1,steiermark,8344 Bad Gleichenberg,https://www.karriere.at/f/fe-resort,FE Resort GmbH,80.0,,,,0,False
Spiti Immobilien GmbH,1,steiermark,8561 Söding-St.Johann,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Stefan Grach,1,steiermark,8044 Graz,https://www.karriere.at/f/stefan,Stefan GmbH & Co KG,75.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,1,steiermark,8020 Graz,https://www.karriere.at/f/steirische-wirtschaftsf%C3%B6rderungsgesellschaft-sfg,Steirische Wirtschaftsförderungs­gesellschaft m.b.H. SFG,100.0,51,100,Anzahl der Mitarbeiter*innen 51 - 100,153,True
STIA Immo GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/stia-immo,STIA Immo GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Strohmaier Holding GmbH,1,steiermark,8750 Judenburg,https://www.karriere.at/f/vh-holding,VH Holding GmbH,82.4,,,,69,False
Supernova Invest GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/supernova-invest,Supernova Invest GmbH,100.0,51,100,Anzahl der Mitarbeiter*innen 51 - 100,13,True
Technopark Raaba Projektentwicklung GmbH,1,steiermark,0316 29 10 24,https://www.karriere.at/f/rp-projektentwicklung,RP Projektentwicklung GmbH,92.3,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Thomann & Partner Immobilienverwaltung KG,1,steiermark,8010 Graz,https://www.karriere.at/f/vlk-partner-immobilienverwaltung,Vlk & Partner Immobilienverwaltung GmbH,94.1,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Thomas Johannes Hafner,1,steiermark,8010 Graz,https://www.karriere.at/f/mag-steinhuber-thomas-johannes,Mag. Steinhuber Thomas Johannes,81.1,1,10,Anzahl der Mitarbeiter*innen 1 - 10,47,True
Tieber Immobilien GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/seeber-immobilien,Seeber Immobilien,88.2,,,,13,True
Tobias Josef Griesshofer,1,steiermark,8990 Bad Aussee,,,,,,,,
Tooo-Immo Immobilien Ges.m.b.H.,1,steiermark,8572 Bärnbach,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
TOP SPEED Immobilien e.U.,1,steiermark,8970 Schladming,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
TOPOS Hausverwaltung GmbH,1,steiermark,8341 Paldau,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Trenker REAL GmbH,2,niederösterreich; steiermark,2700 Wiener Neustadt | 8074 Raaba,https://www.karriere.at/f/trenker-real,Trenker REAL GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
TRUDOMO GMBH,1,steiermark,8054 Seiersberg-Pirka,,,,,,,,
U4 Immobilien Consulting GmbH,1,steiermark,8940 Liezen,https://www.karriere.at/f/4m-immobilien-consulting-co,4M Immobilien&Consulting GmbH & CO KG,93.3,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Ulrike Susanne Güttl,1,steiermark,8047 Hart b.Graz,,,,,,,,
Ulrike Wister,2,steiermark,8020 Graz | 8044 Graz,,,,,,,,
Valentina Kahr,1,steiermark,8010 Graz,https://www.karriere.at/f/kahr,Kahr GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,15,False
VAXANA Immobilien und Immobiliendienstleistungen Gesellschaft m.b.H.,1,steiermark,8225 Pöllau,https://www.karriere.at/f/%C3%B6bv-immobilien-gesellschaft,ÖBV - IMMOBILIEN Gesellschaft m.b.H.,93.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Venta Immobilien Service GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/venta-immobilien-service,Venta Immobilien Service GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
Verde Immobilientreuhand GmbH & Co KG,1,steiermark,8010 Graz,https://www.karriere.at/f/s-a-immobilientreuhand,S&A Immobilientreuhand GmbH,91.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Veronika Anna Klauser,1,steiermark,8010 Graz,,,,,,,,
Victoria Projektentwicklungs GmbH,1,steiermark,8120 Peggau,https://www.karriere.at/f/compact-projektentwicklungs-gmbh,Compact Projektentwicklungs GmbH,83.6,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Viva Domus Real Estate GmbH,1,steiermark,8045 Weinitzen,https://www.karriere.at/f/mg-real-estate,MG Real Estate GmbH,88.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Vivento Immobilien GmbH,2,steiermark; wien,1020 Wien | 8010 Graz,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,True
VOBIS KOMMUNALBAU GmbH,1,steiermark,8580 Köflach,,,,,,,,
Volksbank Salzburg Immobilien GmbH,1,steiermark,8990 Bad Aussee,https://www.karriere.at/f/volksbank-salzburg-eg,Volksbank Salzburg eG,92.3,,,,3,False
Wagner Immobilien Management GmbH,1,steiermark,8043 Graz,https://www.karriere.at/f/wagner-immobilien-management,Wagner Immobilien Management GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
WEG Verwaltungs GmbH,1,steiermark,8041 Graz,https://www.karriere.at/f/aga-verwaltungs-gmbh,AGA Verwaltungs-GmbH,86.7,31,50,Anzahl der Mitarbeiter*innen 31 - 50,23,True
WEGRAZ Gesellschaft für Stadterneuerung und Assanierung m.b.H.,1,steiermark,8010 Graz,https://www.karriere.at/f/wegraz-gesellschaft-f%C3%BCr-stadterneuerung-und-assanierung,WEGRAZ Gesellschaft für Stadterneuerung und Assanierung m.b.H.,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
WEGRAZ Haring Projektentwicklungs GmbH,1,steiermark,8020 Graz,https://www.karriere.at/f/compact-projektentwicklungs-gmbh,Compact Projektentwicklungs GmbH,82.6,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Weinberger Biletti Immobilien Graz GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/weinberger-biletti-immobilien-graz,Weinberger Biletti Immobilien Graz GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
WESIAK Gesellschaft m.b.H.,1,steiermark,8010 Graz,https://www.karriere.at/f/wesiak,Wesiak Gesellschaft m.b.H.,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
WIWA Immobilien e.U.,1,steiermark,8230 Hartberg,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Wohin Immobilien GmbH,1,steiermark,0664 244 01 67,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Wohnraumwerk Bauträger- und Projektentwicklungs GmbH,1,steiermark,8020 Graz,https://www.karriere.at/f/wohnraumwerk-bautr%C3%A4ger-und-projektentwicklungs-gmbh,Wohnraumwerk Bauträger und Projektentwicklungs GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
WSB Immobilien GmbH,1,steiermark,8072 Fernitz-Mellach,https://www.karriere.at/f/wob-immobilien,wob Immobilien GmbH,92.9,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
YP Immobilien GmbH,1,steiermark,8720 Knittelfeld,https://www.karriere.at/f/pr-immobilien,PR Immobilien GmbH,92.3,,,,0,False
ZACH & PARTNER - Immobilientreuhand GmbH,1,steiermark,8045 Graz,https://www.karriere.at/f/s-a-immobilientreuhand,S&A Immobilientreuhand GmbH,91.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Zelzer Real Estate GmbH,1,steiermark,8055 Graz,https://www.karriere.at/f/mg-real-estate,MG Real Estate GmbH,88.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Zirm Immobilien GmbH,2,steiermark; tirol,6020 Innsbruck | 8010 Graz,https://www.karriere.at/f/kir-immobilien,KIR Immobilien GmbH,89.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
'STADTENTWICKLUNGSFONDS KORNEUBURG',1,niederösterreich,2100 Korneuburg,https://www.karriere.at/f/mondi-korneuburg,MONDI KORNEUBURG GMBH,76.9,101,500,Anzahl der Mitarbeiter*innen 101 - 500,69,True
1140 Wien Grundstücks- und Vermögensverwaltung GmbH,1,niederösterreich,1140 Wien Grundstücks- und Vermögensverwaltung GmbH,https://www.karriere.at/f/lotos-verm%C3%B6gensverwaltung,LOTOS Vermögensverwaltung GmbH,86.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
AGImmobilien GmbH,1,niederösterreich,2340 Mödling,,,,,,,,
Andreas Forster,1,niederösterreich,2384 Breitenfurt bei Wien,https://www.karriere.at/f/andreas-auer,Andreas Auer GmbH,74.1,11,30,Anzahl der Mitarbeiter*innen 11 - 30,23,False
Andreas Macheiner,1,niederösterreich,2722 Weikersdorf am Steinfelde,https://www.karriere.at/f/mag-andreas-raffeiner,Mag. Andreas Raffeiner GmbH,78.9,11,30,Anzahl der Mitarbeiter*innen 11 - 30,2,False
APL Immobilientreuhand GmbH,1,niederösterreich,2380 Perchtoldsdorf,https://www.karriere.at/f/s-a-immobilientreuhand,S&A Immobilientreuhand GmbH,90.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
APPL-IMPULS Verwaltungs & Handels GmbH.,1,niederösterreich,3400 Klosterneuburg,https://www.karriere.at/f/lsu-verwaltungs-gmbh,LSU Verwaltungs GmbH,84.6,1,10,Anzahl der Mitarbeiter*innen 1 - 10,2,False
AREVIT Immobilien-Development GmbH,1,niederösterreich,3400 Klosterneuburg,https://www.karriere.at/f/noe-immobilien-development,NOE Immobilien Development GmbH,91.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Artner Immobilienmanagement GmbH,1,niederösterreich,2435 Ebergassing,https://www.karriere.at/f/zum-immobilienmanagement,ZUM Immobilienmanagement GmbH,90.9,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
at home Immobilien-GmbH,2,niederösterreich; wien,1170 Wien | 2700 Wiener Neustadt,https://www.karriere.at/f/at-home-immobilien-gmbh,at home Immobilien-GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
AUREA Hausverwaltung KG,2,niederösterreich; wien,1040 Wien | 3400 Klosterneuburg,https://www.karriere.at/f/aurea-hausverwaltung,aurea Hausverwaltung KG,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
AV-Holding Beteiligungs GmbH,1,niederösterreich,3100 St.Pölten,https://www.karriere.at/f/shi-beteiligungs-gmbh,SHI Beteiligungs GmbH,85.7,,,,0,False
Banner Hausverwaltung e.U.,1,niederösterreich,2263 Waidendorf,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
BAUMEGGER UND PARTNER OG,1,niederösterreich,2700 Wiener Neustadt,https://www.karriere.at/f/maj-partner,Maj & Partner KG,84.6,1,10,Anzahl der Mitarbeiter*innen 1 - 10,16,False
BIT Immobilienverwaltung GmbH,1,niederösterreich,2460 Bruck an der Leitha,https://www.karriere.at/f/iv-immobilienverwaltung,IV Immobilienverwaltung GmbH,93.6,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
Bittermann Immobilien GmbH,1,niederösterreich,3110 Neidling,https://www.karriere.at/f/e-mittermann-immobilien,E. Mittermann Immobilien GmbH,90.9,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Brigitte Pfleger,1,niederösterreich,2512 Traiskirchen,https://www.karriere.at/f/alex-pfleger,Alex Pfleger GmbH,73.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,False
Brugger & Brugger ImmoConsulting GmbH,1,niederösterreich,2700 Wiener Neustadt,,,,,,,,
CCI Immobilienentwicklung GmbH,1,niederösterreich,2380 Perchtoldsdorf,https://www.karriere.at/f/technologiezentren-und-immobilienentwicklung-burgenland,Technologiezentren und Immobilienentwicklung Burgenland GmbH,91.3,11,30,Anzahl der Mitarbeiter*innen 11 - 30,47,False
CEE/China Trade and Brokerage Consulting GmbH,1,niederösterreich,2734 Puchberg am Schneeberg,https://www.karriere.at/f/wr-consulting,WR Consulting GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,False
Christiana Meixner,1,niederösterreich,2500 Baden,,,,,,,,
Christine Cäcilia Zeilner,2,niederösterreich; wien,1060 Wien | 3400 Weidling,,,,,,,,
Claudia Zinner-Hinterwallner,1,niederösterreich,3100 St.Pölten,,,,,,,,
CPL GmbH,1,niederösterreich,3644 Emmersdorf an der Donau,,,,,,,,
Das Neue Wohnen GmbH,1,niederösterreich,2351 Wiener Neudorf,https://www.karriere.at/f/bam-wohnen,BAM.wohnen GmbH,75.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,69,True
delop GmbH,1,niederösterreich,3013 Tullnerbach,,,,,,,,
Die Hausverwalter Pro Immo GesmbH,1,niederösterreich,3300 Amstetten,https://www.karriere.at/f/ve-immo,VE Immo GmbH,72.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Die VERWALTER Immobilien Treuhand GmbH,1,niederösterreich,2533 Klausen-Leopoldsdorf,https://www.karriere.at/f/ps-immobilien-treuhand,PS Immobilien Treuhand GmbH,92.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
DIGI Real Holding GmbH,1,niederösterreich,3244 Ruprechtshofen,https://www.karriere.at/f/corag-real-estate-holding,CORAG Real Estate Holding GmbH,82.8,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Dipl.-Ing. Werner Weißensteiner,1,niederösterreich,3400 Klosterneuburg,,,,,,,,
DMK Immobilien GmbH,1,niederösterreich,3451 Pixendorf,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,88.9,,,,0,False
DPL Verwaltungs GmbH,1,niederösterreich,3601 Dürnstein,https://www.karriere.at/f/lsu-verwaltungs-gmbh,LSU Verwaltungs GmbH,86.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,2,False
Dr. Böck Immobilien Treuhand GmbH,1,niederösterreich,2500 Baden,https://www.karriere.at/f/ps-immobilien-treuhand,PS Immobilien Treuhand GmbH,92.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Dr. Friedrich Noszek GmbH,2,niederösterreich; wien,1030 Wien | 2651 Reichenau an der Rax,https://www.karriere.at/f/immobilienverwaltung-dr-friedrich-noszek,Immobilienverwaltung Dr. Friedrich Noszek GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Dr. Konrad Bergen Immobilien GmbH,1,niederösterreich,3422 Altenberg,https://www.karriere.at/f/konrad,Konrad GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,16,False
Dr. Langeder Immobilien Nfg GmbH,1,niederösterreich,2340 Mödling,https://www.karriere.at/f/dr-langeder-immobilien-nfg,Dr. Langeder Immobilien Nfg OG,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,10,True
Dr. Martin Schober Immobilienverwaltung GmbH,1,niederösterreich,2700 Wiener Neustadt,https://www.karriere.at/f/iv-immobilienverwaltung,IV Immobilienverwaltung GmbH,93.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
Dr. Ursula Pfaffenbichler,1,niederösterreich,3107 St. Pölten,https://www.karriere.at/f/architekt-dipl-ing-paul-pfaffenbichler-ziviltechniker-gesellschaft-mbh,Architekt Dipl. Ing. Paul Pfaffenbichler Ziviltechniker- gesellschaft mbH.,73.7,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
DS Realtreuhand GmbH,1,niederösterreich,2340 Mödling,,,,,,,,
EKZ Immobilienmanagement GmbH,1,niederösterreich,3580 St. Bernhard-Frauenhofen,https://www.karriere.at/f/ekz-immobilienmanagement,EKZ Immobilienmanagement GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,10,False
Ernst Kirchweger,1,niederösterreich,0222 8692250,https://www.karriere.at/f/ernst-schweizer,Ernst Schweizer GmbH,77.4,11,30,Anzahl der Mitarbeiter*innen 11 - 30,62,False
EVD Asset Management GmbH,1,niederösterreich,2344 Maria Enzersdorf,https://www.karriere.at/f/24-asset-management,24 Asset Management GmbH,91.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
EWD Management GmbH,1,niederösterreich,2351 Wiener Neudorf,https://www.karriere.at/f/rk-management,rk-management GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,False
Fellmann Liegenschaftsverwaltungs GmbH,1,niederösterreich,3151 St. Pölten,https://www.karriere.at/f/domus-liegenschaftsverwaltungs-gesellschaft-m-b-h,DOMUS Liegenschaftsverwaltungs Gesellschaft m.b.H.,84.2,1,10,Anzahl der Mitarbeiter*innen 1 - 10,16,True
FILIA KG,1,niederösterreich,2380 Perchtoldsdorf,,,,,,,,
FM-Plus Facility Management GmbH für Wissenschaft + Kultur in NOE,1,niederösterreich,3500 Krems an der Donau,https://www.karriere.at/f/fm-plus-facility-management,FM-Plus Facility Management GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,15,True
forum.koup gmbh,1,niederösterreich,2700 Wiener Neustadt,,,,,,,,
Franz Pum Immobilienverwaltungs GmbH,1,niederösterreich,2104 Spillern,https://www.karriere.at/f/homebase-immobilienverwaltungs-gmbh,Homebase Immobilienverwaltungs GmbH,82.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Franz Zöchmeister,1,niederösterreich,3481 Fels am Wagram,,,,,,,,
FÜRST Immobilien GmbH,1,niederösterreich,3134 Nußdorf o.d.Traisen,https://www.karriere.at/f/rs-immobilien,RS Immobilien GmbH,89.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
"Gaalhofer Immobilien, Vermittlung & Verwaltung e.U.",1,niederösterreich,2372 Gießhübl bei Wien,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Gabriele Margarete Neskodny,1,niederösterreich,3062 Kirchstetten,,,,,,,,
GIA Real GmbH,1,niederösterreich,2102 Bisamberg,https://www.karriere.at/f/sb-real,SB REAL GmbH,72.7,,,,1,False
GOLDBECK Parking GmbH,1,niederösterreich,2345 Brunn/Gebirge,https://www.karriere.at/f/goldbeck-parking,GOLDBECK Parking GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
Green-Point 62 GmbH,1,niederösterreich,2700 Wiener Neustadt,https://www.karriere.at/f/q-point,Q Point GmbH,83.3,51,100,Anzahl der Mitarbeiter*innen 51 - 100,13,False
Gregor Waltner GmbH,1,niederösterreich,2000 Stockerau,,,,,,,,
Grundwerk GmbH,1,niederösterreich,3042 Würmla,,,,,,,,
Gunther Thiel Immobilien Treuhand GmbH,1,niederösterreich,2435 Ebergassing,https://www.karriere.at/f/ps-immobilien-treuhand,PS Immobilien Treuhand GmbH,92.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Gutmann Realinvest GmbH,1,niederösterreich,3400 Klosterneuburg,https://www.karriere.at/f/gutmann,GUTMANN AG,100.0,,,,16,False
GUTWEIL Immobilienmanagement GmbH,1,niederösterreich,3100 St.Pölten,https://www.karriere.at/f/zum-immobilienmanagement,ZUM Immobilienmanagement GmbH,90.9,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
"GWS NEUNKIRCHEN KOMMUNAL Planungs-, Errichtungs- und Servicegesellschaft m.b.H.",1,niederösterreich,2620 Neunkirchen,https://www.karriere.at/f/p-p-planungs-gmbh-co-kg,P & P Planungs GmbH,92.3,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Günter Hanko,1,niederösterreich,3874 Litschau,,,,,,,,
H2H Asset Management Partners GmbH,1,niederösterreich,2560 Berndorf,https://www.karriere.at/f/h2h-asset-management-partners,H2H Asset Management Partners GmbH,100.0,,,,0,True
HAT Immobilien e.U.,1,niederösterreich,2631 Ternitz,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Hausverwaltung GWP GmbH,1,niederösterreich,2130 Mistelbach,https://www.karriere.at/f/hausverwaltung-gwp,Hausverwaltung GWP GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Hausverwaltung Handschur GmbH,1,niederösterreich,2340 Mödling,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Hausverwaltung Nigg e.U.,1,niederösterreich,3400 Klosterneuburg,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
HF Immobilien GmbH,1,niederösterreich,3151 St.Pölten,https://www.karriere.at/f/uhl-immobilien,Uhl Immobilien GmbH,88.9,1,10,Anzahl der Mitarbeiter*innen 1 - 10,15,False
HHPL Immobilienverwaltung GmbH,1,niederösterreich,2352 Gumpoldskirchen,https://www.karriere.at/f/iv-immobilienverwaltung,IV Immobilienverwaltung GmbH,93.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
Hubert Kuen,1,niederösterreich,2564 Weissenbach a. d. Triesting,,,,,,,,
IDEE Bau und Immobilientreuhand KG,1,niederösterreich,3423 St.Andrä-Wördern,https://www.karriere.at/f/s-a-immobilientreuhand,S&A Immobilientreuhand GmbH,91.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
IMMO AGENTUR BURCHARTZ & KRENN GMBH,1,niederösterreich,3300 Amstetten,https://www.karriere.at/f/b%C3%B8a-agentur,bøa! Agentur gmbh,82.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,23,False
Immobilia Obergruber GmbH,1,niederösterreich,3300 Amstetten,https://www.karriere.at/f/semper-immobilia,Semper Immobilia GmbH,72.2,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Immobilien Baden GesmbH,1,niederösterreich,2500 Baden,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
