no	company_name	strict_class	standort_count	states_seen	website	karriere_exact	karriere_min	karriere_max	direct31	group31	borderline	adjacent_hint	strict_evidence_short
85	Weinberger Biletti Immobilien Graz GmbH	C_BORDERLINE_20_30	1	steiermark	http://www.weinberger-biletti.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/weinberger-biletti-immobilien-graz|exact normalized legal-name match
86	Woge Realitäten Gesellschaft m.b.H.	C_BORDERLINE_20_30	1	wien	https://www.hausverwaltungwoge.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/woge-realit%C3%A4ten|exact normalized legal-name match
87	wohn3 Management GmbH	C_BORDERLINE_20_30	1	wien	http://www.wohn3.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/wohn3-management|exact normalized legal-name match
88	Wohnbau 2000 Gesellschaft mbH	C_BORDERLINE_20_30	1	oberösterreich	http://www.wohnbau2000.at/	no			0	0	1	yes	BORDER|official website|30|30|https://wohnbau2000.com/unternehmen/|n. Rund 3.500 Mietwohnungen sind gemeinsam mit der Schwesterfirma in Steyr im Eigenbesitz. Jetzt Kontakt aufnehmen Wohnbau 2000 im Überblick Gründung: 1952 Geschäftsführer: Dir. Jörg Rigger Mitarbeiter: 30 Verwaltungseinheiten: ca. 15.000 Mietwohnungen (Eigenbesitz): ca. 3.500 Errichtete Eige
89	Wohnraumwerk Bauträger- und Projektentwicklungs GmbH	C_BORDERLINE_20_30	1	steiermark		yes	11	30	0	0	1	yes	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/wohnraumwerk-bautr%C3%A4ger-und-projektentwicklungs-gmbh|exact normalized legal-name match
90	Zurich Immobilien Liegenschaftsverwaltungs-GesmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/zurich-immobilien-liegenschaftsverwaltungs-gesmbh|exact normalized legal-name match
91	Allgemeine Unfallversicherungs- Betriebsgesellschaft m.b.H.(AUVB)	U_NOT_PROVEN	2	oberösterreich | salzburg		no			0	0	0	yes	
92	Alwog-Allgemeine Wohnbaugesellschaft m.b.H.	U_NOT_PROVEN	1	steiermark		no			0	0	0	yes	
93	Best in Parking Garagen GmbH & Co KG	U_NOT_PROVEN	1	wien	http://www.bestinparking.at/	no			0	0	0	yes	
94	BFM Facility Management GmbH	U_NOT_PROVEN	1	tirol		no			0	0	0	yes	
95	BWF Wohnbau GmbH	U_NOT_PROVEN	1	kärnten		no			0	0	0	yes	
96	Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH	U_NOT_PROVEN	1	salzburg		no			0	0	0	yes	
97	FM-Plus Facility Management GmbH für Wissenschaft + Kultur in NOE	U_NOT_PROVEN	1	niederösterreich		no			0	0	0	yes	
98	GFR Gebäude- und Facilitymanagement GmbH	U_NOT_PROVEN	1	burgenland		no			0	0	0	yes	
99	Globale Baugesellschaft m.b.H. & Co. KG.	U_NOT_PROVEN	1	tirol		no			0	0	0	yes	
100	H & R Wohnbau GmbH	U_NOT_PROVEN	1	tirol		no			0	0	0	yes	
101	HAGA Wohnbau GmbH	U_NOT_PROVEN	1	tirol		no			0	0	0	yes	
102	huma eleven Shopping Center GmbH	U_NOT_PROVEN	1	wien		yes	1	10	0	0	0	yes	
103	IMMOGARANT GEBÄUDEMANAGEMENT Gesellschaft m.b.H.	U_NOT_PROVEN	1	wien		no			0	0	0	yes	
104	ISSUK Projektentwicklungs GmbH	U_NOT_PROVEN	1	kärnten		no			0	0	0	yes	
105	Kaswurm Immobilien & Wohnbau GmbH	U_NOT_PROVEN	1	wien		no			0	0	0	yes	
106	Krenn Wohnbauservice KG	U_NOT_PROVEN	1	steiermark		no			0	0	0	yes	
107	LSH Facility GmbH	U_NOT_PROVEN	1	steiermark		no			0	0	0	yes	
108	LUC Facility- und Brandschutzmanagement e.U.	U_NOT_PROVEN	1	steiermark	https://www.fb-management.at/	no			0	0	0	yes	
109	Norikum Wohnungsbaugesellschaft m.b.H.	U_NOT_PROVEN	2	oberösterreich	http://www.norikum.at/	yes	1	10	0	0	0	yes	
110	Oberbank Infrastruktur Management GmbH	U_NOT_PROVEN	1	oberösterreich		no			0	0	0	yes	
111	Pilger Facility Management GmbH	U_NOT_PROVEN	1	steiermark	http://www.pfm.at/	no			0	0	0	yes	
112	PROCON Wohnbau GmbH	U_NOT_PROVEN	1	oberösterreich		yes	1	10	0	0	0	yes	
113	REAL-WOHNBAUGESELLSCHAFT M.B.H.	U_NOT_PROVEN	1	kärnten		no			0	0	0	yes	
114	REALITÄTEN - INVEST Immobilientreuhand- und Wohnbaugesellschaft m.b.H	U_NOT_PROVEN	1	kärnten	http://www.realitaeten-invest.at/	no			0	0	0	yes	
115	Rella Facility GmbH	U_NOT_PROVEN	1	wien		no			0	0	0	yes	
116	Schwechater Wohnbau GmbH	U_NOT_PROVEN	1	niederösterreich		no			0	0	0	yes	
117	SDD Gebäudemanagement GmbH	U_NOT_PROVEN	1	wien		no			0	0	0	yes	
118	SE Facility Management OG	U_NOT_PROVEN	1	tirol	http://www.se-facility.at/	no			0	0	0	yes	
119	SELINA Hausverwaltung u. Facility-Management GmbH	U_NOT_PROVEN	1	oberösterreich		no			0	0	0	yes	
120	Selina Verwaltung und Gebäudemanagement GmbH	U_NOT_PROVEN	1	salzburg		no			0	0	0	yes	
121	SMG Facility Management GmbH	U_NOT_PROVEN	1	steiermark		yes	1	10	0	0	0	yes	
122	Stadtgemeinde Gmünd	U_NOT_PROVEN	1	niederösterreich		no			0	0	0	yes	
123	Steiner & Wanner Wohnbau Gesellschaft mbH	U_NOT_PROVEN	1	salzburg	http://steiner-wanner.at/	no			0	0	0	yes	
124	Steinkogler Projektentwicklungs GmbH	U_NOT_PROVEN	1	oberösterreich		no			0	0	0	yes	
125	Steinkogler Wohnbau und Vermietungs GmbH	U_NOT_PROVEN	1	oberösterreich		no			0	0	0	yes	
126	Technopark Raaba Projektentwicklung GmbH	U_NOT_PROVEN	1	steiermark	https://www.technopark-raaba.com/	no			0	0	0	yes	
127	VB - REAL Volksbank NÖ GmbH	U_NOT_PROVEN	1	niederösterreich		no			0	0	0	yes	
128	Victoria Projektentwicklungs GmbH	U_NOT_PROVEN	1	steiermark		no			0	0	0	yes	
129	Volksbank Salzburg Immobilien GmbH	U_NOT_PROVEN	1	steiermark		no			0	0	0	yes	
130	WEGRAZ Haring Projektentwicklungs GmbH	U_NOT_PROVEN	1	steiermark		no			0	0	0	yes	
131	Wert-Heim Versicherungsservice GmbH & Co KG	U_NOT_PROVEN	1	wien		no			0	0	0	yes	
132	Wohnbauservice Immobiliengesellschaft mit beschränkter Haftung	U_NOT_PROVEN	1	oberösterreich	http://www.wosig.at/	no			0	0	0	yes	
133	ZHS Office- & Facilitymanagement GmbH	U_NOT_PROVEN	1	wien		yes	1	10	0	0	0	yes	
