no,company_name,stage3_scope,stage2_process_fit_class,stage2_size_class,management,immediate_owners,ownership_pct,ultimate_control,ownership_type,primary_dm,primary_dm_role,primary_dm_reason,website,wko_url,source_urls,confidence,review_note,research_complete
28,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,DI Robert Zier; Mag Bernhard Raffelsberger,Familienwohnbau gemeinnützige Bau- und Siedlungsgesellschaft m.b.H.; Familienwohnbau Niederösterreich gemeinnützige Wohnbau GmbH; Gesellschaft zur Förderung ökosozialer und familiengerechter Wohnungen GmbH,61%; 24%; 15%,Familienwohnbau group / institutional housing owners,CORPORATE_GROUP,Robert Zier; Bernhard Raffelsberger,Geschäftsführer,Corporate institutional owners; local GFs run the Hausverwaltung,https://wevig.at/,https://firmen.wko.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=382f262c-0390-48ea-a925-d110875546f3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.firmenabc.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-ge_EuUt | https://firmen.wko.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=382f262c-0390-48ea-a925-d110875546f3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Exact percentages shown by FirmenABC/Creditreform,yes
29,Apleona Real Estate AT GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Julia Rahner; Ing Michael Bucher,Apleona Real Estate GmbH,100% sole shareholder,Apleona group,CORPORATE_GROUP,Julia Rahner; Michael Bucher,Geschäftsführer,International corporate parent; Austria GFs are first outreach layer,https://www.realestate.apleona.at/,https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.realestate.apleona.at/ | https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public corporate/registry research,yes
30,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Kommerzialrat Mag iur Peter Genser (CEO); Peter Panowsky (CFO/Prokurist),Peter Genser; Peter Panowsky,Percentages not publicly shown on official team page,Peter Genser / Peter Panowsky owner-management,PARTNER_OWNED,Peter Genser,Geschäftsführender Gesellschafter / CEO,Official site explicitly identifies him as managing shareholder,,https://firmen.wko.at/drgerlich-cohausverwaltung-und-facility-management-gmbh/salzburg/?firmaid=219f42a8-a4f3-4f4e-9690-4e26dc00712f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.gerlich.at/ueber-uns/team/ | https://firmen.wko.at/drgerlich-cohausverwaltung-und-facility-management-gmbh/salzburg/?firmaid=219f42a8-a4f3-4f4e-9690-4e26dc00712f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Peter Panowsky explicitly identified as shareholder and CFO,yes
31,Immobilientreuhand Kluger GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Sonja Helfer; Sabine Glösmann,Sonja Helfer; Sabine Glösmann; Technik rund ums Haus Service GmbH,Not publicly shown in free registry,Owner-managers / service-company shareholder,PARTNER_OWNED,Sonja Helfer; Sabine Glösmann,Geschäftsführerinnen / Gesellschafterinnen,Both current GFs are shareholders,,https://firmen.wko.at/immobilientreuhand-kluger-gmbh/wien/?firmaid=085657f5-9f16-4690-923d-20497f4158bc&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/ | https://firmen.wko.at/immobilientreuhand-kluger-gmbh/wien/?firmaid=085657f5-9f16-4690-923d-20497f4158bc&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current EVI review matched exact legal entity,yes
32,NV Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Paul Fruhmann; Jürgen Narath,NVB Holding GmbH,100% sole shareholder,NVB Holding group,CORPORATE_GROUP,Paul Fruhmann; Jürgen Narath,Geschäftsführer,Corporate parent; current operating GFs,,https://firmen.wko.at/nv-immobilien-gmbh/nieder%c3%b6sterreich/?firmaid=af42e25e-cdfc-4328-8df2-c011a4c322f2&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/628931z | https://firmen.wko.at/nv-immobilien-gmbh/nieder%c3%b6sterreich/?firmaid=af42e25e-cdfc-4328-8df2-c011a4c322f2&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
33,SES Center Management GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Mag Christoph Andexlinger; MMag Dr Johannes Köth; Rudolf Alexander Eck,Partig Beteiligungs- und Vermögensverwaltungsgesellschaft m.b.H.,100%,SES / SPAR Austria group,CORPORATE_GROUP,Christoph Andexlinger,Geschäftsführer / CEO-level group management,100% corporate parent; Andexlinger is longstanding SES executive lead,,https://firmen.wko.at/ses-center-management-gmbh/salzburg/?firmaid=79f71352-b685-432e-bc8b-21f56895e524&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.firmenabc.at/ses-center-management-gmbh_DbYY | https://firmen.wko.at/ses-center-management-gmbh/salzburg/?firmaid=79f71352-b685-432e-bc8b-21f56895e524&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current FirmenABC shows three GFs and 100% Partig owner,yes
34,Wohnbau 2000 Gesellschaft mbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Jörg Rigger,Jörg Rigger; Janine Karlsböck,Jörg Rigger 92%; Janine Karlsböck 8%,Jörg Rigger,INDIVIDUAL_FAMILY_CONTROL,Jörg Rigger,Owner / Geschäftsführer,92% controlling owner and current GF,http://www.wohnbau2000.at/,https://firmen.wko.at/wohnbau-2000-gesellschaft-mbh-immobilien-bautr%c3%84ger-makler-verwalter/ober%c3%b6sterreich/?firmaid=0371acbe-5cc3-4c87-911b-496bbeed12b2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/81674i | https://firmen.wko.at/wohnbau-2000-gesellschaft-mbh-immobilien-bautr%c3%84ger-makler-verwalter/ober%c3%b6sterreich/?firmaid=0371acbe-5cc3-4c87-911b-496bbeed12b2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,92% majority established in public registry/business-data review; residual 8% follows complete two-shareholder structure,yes
35,BOE Gebäudemanagement Gesellschaft m.b.H.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Manfred Mayer; Karl Ispas,Concordia Park Garagen GmbH,100% sole shareholder,Concordia/BOE group,CORPORATE_GROUP,Manfred Mayer; Karl Ispas,Geschäftsführer,Corporate parent; current local GFs are operational targets,http://www.boe-parking.at/,https://firmen.wko.at/boe-geb%c3%a4udemanagement-gesellschaft-mbh/tirol/?firmaid=4cef397c-cbbe-45bc-8d3b-21ca36fae81b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/33879y | https://firmen.wko.at/boe-geb%c3%a4udemanagement-gesellschaft-mbh/tirol/?firmaid=4cef397c-cbbe-45bc-8d3b-21ca36fae81b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current March 2026 management,yes
36,GSA Wohnbauträger GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Christian Haidinger,Familienwohnbau gemeinnützige Bau- und Siedlungsgesellschaft; BAUSPARERHEIM gemeinnützige Wohnungsgenossenschaft; GSA Genossenschaft; Salzburger Siedlungswerk,Not publicly shown in free EVI,Institutional housing-owner consortium,CORPORATE_GROUP,Christian Haidinger,Geschäftsführer,Fragmented institutional ownership; sole current GF is operational DM,,https://firmen.wko.at/gsa-wohnbautr%c3%a4ger-gmbh/ober%c3%b6sterreich/?firmaid=9d65930d-0479-4028-9f68-2edde4a97a33&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/386661w | https://firmen.wko.at/gsa-wohnbautr%c3%a4ger-gmbh/ober%c3%b6sterreich/?firmaid=9d65930d-0479-4028-9f68-2edde4a97a33&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
37,ista Österreich GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Jan Oliver Schlodder; Friedrich Paprotka,ista SE,100% sole shareholder,ista group,CORPORATE_GROUP,Jan Oliver Schlodder; Friedrich Paprotka,Geschäftsführer,International corporate owner; Austrian GFs are actionable layer,http://www.ista.at/,https://firmen.wko.at/ista-%c3%96sterreich-gmbh/wien/?firmaid=213ad5af-0add-4e26-9f75-44e52383e686&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.ista.com/at/ | https://firmen.wko.at/ista-%c3%96sterreich-gmbh/wien/?firmaid=213ad5af-0add-4e26-9f75-44e52383e686&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public company/registry research,yes
38,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,DI Bernhard Ölz,PRISMA Holding AG,100% sole shareholder,PRISMA group,CORPORATE_GROUP,Bernhard Ölz,Geschäftsführer,Sole corporate owner; longstanding group executive is best first outreach,https://www.prisma-zentrum.com/,https://firmen.wko.at/%22prisma%22-zentrum-f%c3%bcr-standort-und-regionalentwicklung-gmbh/salzburg/?firmaid=c4259ce0-2340-4dbd-bdf9-6cf297ee7b3d&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/541619z | https://firmen.wko.at/%22prisma%22-zentrum-f%c3%bcr-standort-und-regionalentwicklung-gmbh/salzburg/?firmaid=c4259ce0-2340-4dbd-bdf9-6cf297ee7b3d&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
39,Unibail-Rodamco Austria Verwaltungs GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Jakub Skwarlo; Paul Douay,URW Invest GmbH,100%,Unibail-Rodamco-Westfield group,CORPORATE_GROUP,Jakub Skwarlo; Paul Douay,Geschäftsführer,International group ownership; Austria management is relevant decision layer,,https://firmen.wko.at/unibail-rodamco-austria-verwaltungs-gmbh/nieder%c3%b6sterreich/?firmaid=558419c0-dc6b-4c90-b866-81e136186aa6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.urw.com/ | https://firmen.wko.at/unibail-rodamco-austria-verwaltungs-gmbh/nieder%c3%b6sterreich/?firmaid=558419c0-dc6b-4c90-b866-81e136186aa6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current registry research and 100% parent structure,yes
40,be real Immobilienmanagement GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Lukas Eybel,Lukas Eybel BeteiligungsgmbH,100% sole shareholder,Lukas Eybel via personal holding,INDIVIDUAL_FAMILY_CONTROL,Lukas Eybel,Owner-controller / Geschäftsführer,Sole parent is his named holding and he is operating GF,http://www.bereal-immobilien.at/,https://firmen.wko.at/be-real-immobilienmanagement-gmbh/wien/?firmaid=0db5736d-8b4a-41cc-acd4-611f22e60540&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/152672v | https://firmen.wko.at/be-real-immobilienmanagement-gmbh/wien/?firmaid=0db5736d-8b4a-41cc-acd4-611f22e60540&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
41,GRAWE Immo AG,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Kristijan Agatic; Manfred Stranz; Stefan Höhn,GRAWE group / AG shareholder structure,AG shareholder percentages not listed in free Firmenbuch,GRAWE Versicherungsgruppe,CORPORATE_GROUP,Kristijan Agatic; Manfred Stranz; Stefan Höhn,Vorstand,Group-owned AG; current Vorstand is operational decision layer,http://www.gwimmo.at/,https://firmen.wko.at/grawe-immo-ag/steiermark/?firmaid=3e9afebc-bcab-453c-807d-6ede8fd40f47&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.grawe-immo.at/ | https://firmen.wko.at/grawe-immo-ag/steiermark/?firmaid=3e9afebc-bcab-453c-807d-6ede8fd40f47&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current Vorstand confirmed in public corporate/registry research,yes
42,International Campus Austria GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Gerhard Hrabik; Wolfgang Quirchmayr,International Campus Group Sàrl,100%,International Campus Group,CORPORATE_GROUP,Gerhard Hrabik; Wolfgang Quirchmayr,Geschäftsführer,100% international parent; Austrian GFs are first outreach,,https://firmen.wko.at/international-campus-austria-gmbh/wien/?firmaid=09505220-ff99-4ca6-843c-4dbfdcd07ada&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.the-fizz.com/ | https://firmen.wko.at/international-campus-austria-gmbh/wien/?firmaid=09505220-ff99-4ca6-843c-4dbfdcd07ada&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public registry/business data,yes
43,Porsche Immobilien Gesellschaft m.b.H.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Wilhelm Felix Strigl; Christian Häupl,Porsche Holding Gesellschaft m.b.H.,100% sole shareholder,Porsche Holding / Volkswagen group,CORPORATE_GROUP,Wilhelm Felix Strigl; Christian Häupl,Geschäftsführer,Large group ownership; local property executives are relevant,,https://firmen.wko.at/porsche-immobilien-gesellschaft-mbh/salzburg/?firmaid=3aca3e73-9ff6-46d0-8b65-21435521cb21&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.porsche-holding.com/ | https://firmen.wko.at/porsche-immobilien-gesellschaft-mbh/salzburg/?firmaid=3aca3e73-9ff6-46d0-8b65-21435521cb21&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public registry research,yes
44,Ulreich VerwaltungsGmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Mag Hans Jörg Ulreich,Mag Hans Jörg Ulreich,100%,Hans Jörg Ulreich,INDIVIDUAL_FAMILY_CONTROL,Hans Jörg Ulreich,Owner / Geschäftsführer,100% owner-manager,,https://firmen.wko.at/ulreich-verwaltungsgmbh/wien/?firmaid=e0e7f760-3864-4381-884e-983d57c858c1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.firmenatlas.com/firma/393764s | https://firmen.wko.at/ulreich-verwaltungsgmbh/wien/?firmaid=e0e7f760-3864-4381-884e-983d57c858c1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current ownership and management,yes
45,ÖBB-Immobilienmanagement Gesellschaft mbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Erich Pirkl; Claudia Brey,ÖBB-Infrastruktur AG,100% sole shareholder,Republic of Austria via ÖBB-Holding AG,PUBLIC_STATE,Erich Pirkl; Claudia Brey,Geschäftsführer,State-owned corporate chain; local Immobilienmanagement GFs are actionable,,https://firmen.wko.at/%c3%96bb-immobilienmanagement-gesellschaft-mbh/salzburg/?firmaid=dbe320f6-197f-468e-a099-01772f442235&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://immobilien.oebb.at/ | https://firmen.wko.at/%c3%96bb-immobilienmanagement-gesellschaft-mbh/salzburg/?firmaid=dbe320f6-197f-468e-a099-01772f442235&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current management and sole parent confirmed in public corporate registry,yes
46,Alpen Real Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Thomas Kletzmayr,Eva Maria Bamberger; Ingrid Hartlauer,Not publicly shown in free EVI,Bamberger/Hartlauer ownership,PARTNER_OWNED,Thomas Kletzmayr,Geschäftsführer,Shareholding is private but percentages unresolved; current GF is safest first outreach,,https://firmen.wko.at/alpen-real-immobilien-gmbh/salzburg/?firmaid=9850b2d6-ba5c-4095-b8df-2b52f86737cf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.alpenreal.at/ | https://firmen.wko.at/alpen-real-immobilien-gmbh/salzburg/?firmaid=9850b2d6-ba5c-4095-b8df-2b52f86737cf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current management/shareholders established in public registry research,yes
47,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Mag Saeed Akhondi; Mag Barbara Zimmeter-Haidvogel,Dr. Peter Dirnbacher Immobilientreuhand GmbH (general partner); Saeed Akhondi; Barbara Zimmeter-Haidvogel; Patrick Jungmann GmbH,Kommandit interests: Akhondi 33.33%; Zimmeter-Haidvogel 33.33%; Patrick Jungmann GmbH 33.33%,Three-way partner control through managing GmbH/KG structure,PARTNER_OWNED,Saeed Akhondi; Barbara Zimmeter-Haidvogel,Geschäftsführer / Kommanditisten,Both are current GFs of the managing entity and each holds one-third KG interest,,https://firmen.wko.at/dr-peter-dirnbacher-immobilientreuhand-gmbh-und-co-kg/wien/?firmaid=3fb133e5-3502-4017-9c5e-2fad723cd6a1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.firmenabc.at/dr-peter-dirnbacher-immobilientreuhand-gmbh-co-kg_KHPI | https://firmen.wko.at/dr-peter-dirnbacher-immobilientreuhand-gmbh-und-co-kg/wien/?firmaid=3fb133e5-3502-4017-9c5e-2fad723cd6a1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current structure after July 2024 change,yes
48,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Mag Wolf-Dietrich Schneeweiss,Mag Wolf-Dietrich Schneeweiss,100% sole proprietor,Wolf-Dietrich Schneeweiss,SOLE_PROPRIETOR,Wolf-Dietrich Schneeweiss,Inhaber,Named sole proprietor,,https://firmen.wko.at/immobilienkanzlei-mag-wolf-dietrich-schneeweiss-eu/wien/?firmaid=bf8a27a4-170f-47d6-a58d-fd3966bdfeea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://firmen.wko.at/ | https://firmen.wko.at/immobilienkanzlei-mag-wolf-dietrich-schneeweiss-eu/wien/?firmaid=bf8a27a4-170f-47d6-a58d-fd3966bdfeea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Exact WKO sole-trader identity used in Stage 2 master,yes
49,McArthurGlen Management Gesellschaft m.b.H.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Mario Schwann; Susie McCabe; Petr Proy,McArthurGlen UK Limited,100%,McArthurGlen / parent group,CORPORATE_GROUP,Mario Schwann,Geschäftsführer,International parent; local Austrian centre-management executive prioritized,,https://firmen.wko.at/mcarthurglen-management-gesellschaft-mbh/salzburg/?firmaid=c68fab59-adde-430d-b054-1eb93956904f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.mcarthurglen.com/ | https://firmen.wko.at/mcarthurglen-management-gesellschaft-mbh/salzburg/?firmaid=c68fab59-adde-430d-b054-1eb93956904f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry/business data shows 100% UK parent,yes
50,SERIA Immobilien & Treuhand GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Ulrike Fabian,Austria Handel & Treuhand GmbH,100%,Töpfl Privatstiftung via Austria Handel & Treuhand GmbH,FOUNDATION_CONTROL,Ulrike Fabian,Geschäftsführerin,Foundation/corporate owner; local operating GF is first outreach layer,http://www.seria.at/,https://firmen.wko.at/seria-immobilien-und-treuhand-gmbh-hausverwaltung-vermittlung-verkauf/steiermark/?firmaid=0e2d9d35-5d13-4736-b993-a3a09946b0a6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.seria.at/ | https://firmen.wko.at/seria-immobilien-und-treuhand-gmbh-hausverwaltung-vermittlung-verkauf/steiermark/?firmaid=0e2d9d35-5d13-4736-b993-a3a09946b0a6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Parent Austria Handel & Treuhand is 100% Töpfl Privatstiftung in public registry data,yes
51,Woge Realitäten Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Helene Strizsik,Günther Fleihaus; Helene Strizsik; Günter Fleihaus; Thomas Christian Mathauser; Nicole Victoria Mathauser,50%; 16.67%; 16.67%; 8.33%; 8.33%,Günther Fleihaus as largest 50% holder,PARTNER_OWNED,Günther Fleihaus; Helene Strizsik,Largest shareholder; Geschäftsführerin,Largest owner plus operating GF,https://www.hausverwaltungwoge.at/,https://firmen.wko.at/woge-realit%c3%a4ten-gesellschaft-mbh/wien/?firmaid=b1f62a6e-5c47-4782-851a-112c0dab2456&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/125884z | https://firmen.wko.at/woge-realit%c3%a4ten-gesellschaft-mbh/wien/?firmaid=b1f62a6e-5c47-4782-851a-112c0dab2456&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current shareholder names cross-checked; percentages from public business-registry data,yes
52,CBRE GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Lukas Schwarz; Salomie Robinson,Relam Amsterdam Holdings B.V.,100% sole shareholder,"CBRE Group, Inc.",CORPORATE_GROUP,Lukas Schwarz; Salomie Robinson,Geschäftsführer,Global corporate ownership; Austria GFs are actionable decision layer,http://www.cbre.at/,https://firmen.wko.at/cbre-gmbh-cbre-gmbh/wien/?firmaid=f9385336-8856-4a6b-b913-0574cec1db0a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.cbre.at/ | https://firmen.wko.at/cbre-gmbh-cbre-gmbh/wien/?firmaid=f9385336-8856-4a6b-b913-0574cec1db0a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry/corporate research,yes
53,Haus & Grund Immobilien Management GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Karin Mayr; Florian Hörmann,GIM-Beteiligungsholding GmbH,100% sole shareholder,GIM/IMV group under material Wolfgang Macho control,CORPORATE_GROUP,Karin Mayr; Florian Hörmann,Geschäftsführer,"Corporate owner; current operating management first, with Macho as group-control escalation",,https://firmen.wko.at/haus-und-grund-immobilien-management-gmbh/salzburg/?firmaid=d103a1fd-e6b7-4e9c-98bc-63bf61bb7e87&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://imv.co.at/uber-uns/ | https://firmen.wko.at/haus-und-grund-immobilien-management-gmbh/salzburg/?firmaid=d103a1fd-e6b7-4e9c-98bc-63bf61bb7e87&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Official IMV group source used for control context,yes
54,KAPPACHER-SELINA Hausverwaltung GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Berthold Rindfleisch,Selina Verwaltung und Gebäudemanagement GmbH,100% sole shareholder,SELINA Hausverwaltung u. Facility-Management GmbH / SELINA group,CORPORATE_GROUP,Berthold Rindfleisch,Geschäftsführer,Same executive leads parent chain; direct operating GF is first target,https://www.kappacher-selina.at/,https://firmen.wko.at/kappacher-selina-hausverwaltung-gmbh-immobilientreuh%c3%a4nder/salzburg/?firmaid=5415d9e1-c8a8-4f86-ac2a-bf21d780840a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/431702g | https://www.firmenabc.at/selina-hausverwaltung-u-facility-management-gmbh_DXRv | https://firmen.wko.at/kappacher-selina-hausverwaltung-gmbh-immobilientreuh%c3%a4nder/salzburg/?firmaid=5415d9e1-c8a8-4f86-ac2a-bf21d780840a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Parent chain publicly confirmed,yes
55,Realverwaltung GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Dr Christian Harisch; Stefan Rutter; Andreas Wedenig,ECA Privatstiftung; Mona Lisa Privatstiftung,50%; 50%,ECA Privatstiftung and Mona Lisa Privatstiftung,FOUNDATION_CONTROL,Stefan Rutter; Christian Harisch,Geschäftsführer,50/50 foundation ownership without public individual controller; longstanding local GFs prioritized,http://stefan.rutter@rutter.at/,https://firmen.wko.at/realverwaltung-gmbh/k%c3%a4rnten/?firmaid=4f8bab4e-76b5-4c93-a9d7-3190d7d88a6f&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,https://firmenmonitor.com/firma/realverwaltung-gmbh-249935b | https://firmen.wko.at/realverwaltung-gmbh/k%c3%a4rnten/?firmaid=4f8bab4e-76b5-4c93-a9d7-3190d7d88a6f&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current management and exact 50/50 ownership,yes
56,WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Michael Wariwoda,Michael Wariwoda; Max Richter; Nicole Gruber,Not publicly shown in free EVI,Wariwoda/Richter/Gruber private ownership,PARTNER_OWNED,Michael Wariwoda,Geschäftsführer / Gesellschafter,Current GF is also shareholder,,https://firmen.wko.at/wariwoda-und-richter-immobilientreuhandgesellschaft-mbh/wien/?firmaid=559ebf25-eaf7-475b-9606-a01fda645de0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.wariwoda.at/ | https://firmen.wko.at/wariwoda-und-richter-immobilientreuhandgesellschaft-mbh/wien/?firmaid=559ebf25-eaf7-475b-9606-a01fda645de0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public registry research,yes
